ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Se vende piso en buen estado, de obra nueva, antes oficina, falta poner la cocina, suelo de gres, ventanas climalic, calefacción individual..",más de 5 meses sin actualizar,1,0,1,0,0,segunda mano/buen estado,,en trámite,bajo exterior,,0,,calefacción individual,82307310,Piso,,0,Liétor,"Calle las Fontanas, 3"," Calle las Fontanas, 3 , Liétor , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",85,,2019-04-12,,60000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,28462703,Piso,,0,Hellín,"Calle Sacerdote Ramon Torres, 15"," Calle Sacerdote Ramon Torres, 15 , Hellín , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",82,,2019-04-12,,60000,0,3,0,0,0,
,más de 5 meses sin actualizar,1,1,2,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,28165635,Piso,,1,Tobarra,"Paseo Príncipe Asturias, 115"," Paseo Príncipe Asturias, 115 , Tobarra , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",104,96,2019-04-12,este,95000,1,3,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 4ª exterior,,0,,,36871421,Piso,,1,Hellín,"Calle Arcipreste Sánchez González, 2"," Calle Arcipreste Sánchez González, 2 , Hellín , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",138,120,2019-04-12,,150000,0,4,0,0,0,
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,en trámite,,,0,,,38097970, Casa o chalet independiente,,,Hellín,"Polígono Industrial Losilla A, 1"," Polígono Industrial Losilla A, 1 , Hellín , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",120,,2019-04-12,,145000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,1 planta,,0,,,82029350, Casa de pueblo,,,Liétor,"Plaza Mayor, 1"," Plaza Mayor, 1 , Liétor , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",200,,2019-04-12,,75000,0,4,0,0,1,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/para reformar,,no indicado,1 planta,,0,,,82029353, Casa de pueblo,,,Liétor,"Puerta Nueva, 49"," Puerta Nueva, 49 , Liétor , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",200,,2019-04-12,,40000,0,4,0,0,1,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,planta 3ª exterior,,0,,,82549770,Piso,,1,Hellín,"Carretera Murcia, 4"," Carretera Murcia, 4 , Hellín , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",93,,2019-04-12,,122000,0,3,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,en trámite,bajo exterior,plaza de garaje incluida en el precio,0,,,29604115,Piso,,1,Hellín,"Calle Hospital, 4"," Calle Hospital, 4 , Hellín , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",75,,2019-04-12,,85000,0,2,0,0,0,
"Finca de 26.000m2 con gran cantidad de Oliveras, almendros y nogales incluye agua en propiedad de riego (gratis) con balsa de 200m3 aprox. , riego por goteo en toda la finca, vallada, a 500m del casco urbano de Hellín y de la autovía Murcia-madrid. Se vende por no poder atenderla., distribución:, terraza descubierta de 100 m2, la casa dispone de:,portero automático.",más de 5 meses sin actualizar,1,0,2,0,0,segunda mano/buen estado,,no indicado,1 planta,plaza de garaje incluida en el precio,1,,,1766858, Casa o chalet independiente,,,Hellín,"Calle Escunatas, 1"," Calle Escunatas, 1 , Hellín , Campo de Hellín, Albacete ",,,"Campo de Hellín, Albacete",26000,190,2019-04-12,,250000,0,4,1,1,1,
