ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,0,,,82408876, Casa o chalet independiente,,,Burgo de Osma-Ciudad de Osma,"Calle de la Universidad, 52"," Calle de la Universidad, 52 , Burgo de Osma-Ciudad de Osma , Burgo de Osma, Soria ",,,"Burgo de Osma, Soria",385,,2019-04-11,,210000,0,4,0,0,0,
,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/para reformar,,no indicado,planta 1ª exterior,,0,,,82546729,Piso,,0,Vinuesa,"Avenida Constitución, 4"," Avenida Constitución, 4 , Vinuesa , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",92,,2019-04-11,,50000,0,4,1,0,1,
Casa nueva sin dividir (no dispone de habitáculos).,más de 5 meses sin actualizar,0,0,3,0,0,segunda mano/buen estado,,no indicado,2 plantas,,0,,,31371763, Casa de pueblo,,,Espejon,"Calle las huertas, 7"," Calle las huertas, 7 , Espejon , Burgo de Osma, Soria ",,,"Burgo de Osma, Soria",120,,2019-04-11,,36000,0,3,0,0,0,
casa para rehabilitar.,más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/para reformar,,no indicado,1 planta,,0,,,29048173, Casa de pueblo,,,Calatañazor,Camino Blacos s/n," Camino Blacos s/n , Calatañazor , Área de Soria, Soria ",,,"Área de Soria, Soria",280,,2019-04-11,,38000,0,5,0,0,0,
"Casa para reformar en pueblo con río, junto a campo de golf y lugares de interés.",más de 5 meses sin actualizar,0,0,1,0,1,segunda mano/para reformar,,inmueble exento,,,0,,,38300670, Casa de pueblo,,,Rioseco de Soria,"Carretera Soria Valladolid, 6"," Carretera Soria Valladolid, 6 , Rioseco de Soria , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",146,145,2019-04-11,sur,18000,0,6,0,0,0,
Vendo o alquilo piso en Navaleno (Soria). Esta amueblado en estilo castellano. El salón tiene chimenea de obra y terraza con vistas al prado. La cocina tiene despensa y terraza propia. Tiene 3 habitaciones y 1 baño. Suelos parquet y gres. El trastero es grande y sirve para guardar leña.,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,,0,,,38645190,Piso,,0,Navaleno,"Avenida de la Constitución, 67 , PISO 1º"," Avenida de la Constitución, 67 , PISO 1º , Navaleno , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",78,76,2019-04-11,,48000,0,3,1,0,1,
"en Vinuesa (Soria) la corte de los pinares, a los pies del Parque natural de la Laguna negra y los circos glaciares de urbión, con aparcamiento privado en el interior de la finca y zona verde, preciosas vistas., la casa dispone de:,portero automático.",más de 5 meses sin actualizar,0,0,4,0,0,segunda mano/para reformar,,no indicado,3 plantas,,1,,,1850450, Casa o chalet independiente,,,Vinuesa,"Calle Lavaderas, 2"," Calle Lavaderas, 2 , Vinuesa , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",417,,2019-04-11,,175000,0,8,1,0,0,
"Estupendo piso rústico, con preciosas vistas, todo reformado.",más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/buen estado,,no indicado,planta 4ª exterior,,0,,,28490476,Piso,,0,Almazan,"Calle Monjas, 18"," Calle Monjas, 18 , Almazan , Almazán, Soria ",,,"Almazán, Soria",120,110,2019-04-11,"norte, este, oeste",55000,0,4,1,0,0,
Casa en plena naturaleza. Rodeada de pinar en zona de setas. Ideal para familia con niños.,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,1 planta,,0,,,26786978, Casa o chalet independiente,,,Muriel Viejo,Carretera s/n," Carretera s/n , Muriel Viejo , Pinares y Tierras Altas, Soria ",,,"Pinares y Tierras Altas, Soria",140,100,2019-04-11,sur,36000,0,4,1,0,0,
"cASA UNIFAMILIAR, con tres habitaciones, aseo, recibidor y cocina salon. Debido a la amplitud de terreno, tiene enormes posibilidades de ampliación.,Amplio espacio dedicado a trasteros, leñera, etc.. .,se podría construir una bodega, solarium., la casa dispone de:,portero automático.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/para reformar,,no indicado,1 planta,plaza de garaje incluida en el precio,0,,,1898650, Casa o chalet independiente,,,San esteban de Gormaz,"Calle Elias Alvarez, 35"," Calle Elias Alvarez, 35 , San esteban de Gormaz , Burgo de Osma, Soria ",,,"Burgo de Osma, Soria",212,,2019-04-11,,60000,0,3,0,0,0,
Seminuevo. Impecable. A diez minutos del centro comercial.,más de 5 meses sin actualizar,0,0,1,1,0,segunda mano/buen estado,,en trámite,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,35791499,Estudio,,1,Golmayo,"Calle Iglesia, 11"," Calle Iglesia, 11 , Golmayo , Área de Soria, Soria ",,,"Área de Soria, Soria",50,45,2019-04-11,sur,85000,0,sin habitación,0,0,0,
