ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
,más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,2 plantas,,0,,,82812085, Casa de pueblo,,,Toro,"Calle Perejil, 9"," Calle Perejil, 9 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",110,,2019-04-11,,45000,0,4,0,0,0,
"Piso en el centro de Toro, a 2 minutos de la Plaza Mayor. Muy soleado con vistas a la Colegiata. Buen estado. Suelo de tarima, trastero y garaje.",más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,en trámite,planta 3ª exterior,plaza de garaje incluida en el precio,0,,,38213836,Piso,,1,Toro,Plaza Porticada s/n," Plaza Porticada s/n , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",95,,2019-04-11,sur,91000,0,2,1,0,1,
"Dispone de casa de 110m, completamente amueblada, 3 dormitorios, 1 baño, cocina, calefacción gasoil, totalmente reformada, mobiliario, cocina completa. ademas posee otra zona construida de 80m con cocina, bodega, garaje, almacén. incluye además: piscina con depuradora, amplia zona de cesped, barbacoa, gran huerto, árboles frutales, viña, aparcamiento exterior con sombra, iluminaciÓn en toda la finca, pozo de agua, vallado.. . etc.",más de 5 meses sin actualizar,0,1,1,0,0,segunda mano/buen estado,,no indicado,1 planta,plaza de garaje incluida en el precio,1,,,81887891, Casa o chalet independiente,,,Toro,"Carretera Castronuño, 4"," Carretera Castronuño, 4 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",6000,,2019-04-11,,170000,0,3,1,1,0,
"Casa rustica, 3 plantas, amueblada, con garaje incluido en el precio.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,no indicado,3 plantas,plaza de garaje incluida en el precio,0,,,82365794, Casa de pueblo,,,Villavendimio,"Calle Libertad, 8"," Calle Libertad, 8 , Villavendimio , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",350,270,2019-04-11,,25000,0,5,0,0,1,
"Venta de piso en Toro, Zamora, amueblado, en perfecto estado, tercer piso exterior, con ascensor, 3 habitaciones, un baño, balcón y salón amplio y luminoso. Facil aparcamiento, cerca de supermercados, salida a autovia y a 5 minutos andando de la plaza del pueblo. Para entrar a vivir. Precio negociable.",más de 5 meses sin actualizar,0,1,1,0,0,segunda mano/buen estado,,en trámite,planta 3ª exterior,,0,,,82365778,Piso,,1,Toro,"Travesía Carlos Pinilla, 38"," Travesía Carlos Pinilla, 38 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",100,85,2019-04-11,,65000,0,3,0,0,0,
"Se vende casa en Morales de Toro (Zamora) con tres habitaciones, sala, baño, amplio sobrado y corral. A reformar. Precio de venta: 28. 000 €.",más de 5 meses sin actualizar,0,0,1,0,1,segunda mano/buen estado,,no indicado,2 plantas,,0,,,32977885, Casa de pueblo,,,Morales de Toro,"Calle el circuito, 8"," Calle el circuito, 8 , Morales de Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",30,,2019-04-11,,28000,0,3,1,0,0,
"El piso se encuentra en una de las calles principales de la ciudad de Toro. A 5 min a pie de la Plaza Mayor y comercios.,Mucha iluminación y piezas muy grandes como salón, habitación de matrimonio con baño incluido, cocina. Hay dos patios de luces.,Buena inversión, en zona inmejorable de Toro.,Precio negociable.",más de 5 meses sin actualizar,0,0,2,1,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,,1,,,34878931,Piso,,0,Toro,"Calle rejadorada, 25"," Calle rejadorada, 25 , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",180,170,2019-04-11,,90000,0,4,0,0,0,
"Casa independiente construida en una parcela de 455 metros cuadrados. Tiene 3 habitaciones, 1 baño, 1 cocina principal, 1 cocina de verano, sala de estar y despensa. Incluye plaza de garaje. En la parte exterior tiene un porche y una zona ajardinada que cuenta con un pozo de agua y árboles frutales.",más de 5 meses sin actualizar,0,0,1,0,0,segunda mano/buen estado,,no indicado,1 planta,plaza de garaje incluida en el precio,1,,,82041312, Casa de pueblo,,,Vezdemarban,"Calle Huertos, 14"," Calle Huertos, 14 , Vezdemarban , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",455,,2019-04-11,,60000,0,3,0,0,0,
"Casa rústica de pueblo en el núcleo urbano. Situada a 7 km de Toro, 40 km de Zamora y 70 km de Valladolid.,Vivienda distribuida en dos plantas: La planta baja consta de distribuidor, 3 dormitorios amplios, cocina y salón. Cuenta con porche de madera, bodega exterior y un gran patio con zona verde de 250 m2. La bodega cuenta con todos los accesorios y maquinaria necesaria para la elaboración del vino. La planta segunda podría adaptarse a vivienda con tres dormitorios más.,La vivienda queda totalmente amueblada, lista para entrar a vivir.",más de 5 meses sin actualizar,0,0,1,0,1,segunda mano/buen estado,,no indicado,2 plantas,plaza de garaje incluida en el precio,1,,,40097721, Casa de pueblo,,,Villardondiego,"Calle Silos, 11"," Calle Silos, 11 , Villardondiego , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",473,,2019-04-11,,120000,0,3,1,0,1,
Inmueble de 95 m² ubicado en TORO (Zamora).,Anuncio actualizado el 1 de abril,0,0,2,0,0,,,no indicado,,,0,,,84159054,Piso,,,Toro,," , Toro , Alfoz de Toro, Zamora ",,,"Alfoz de Toro, Zamora",94,80,2019-04-11,,62400,0,3,0,0,0,
