link,num_link,obtention_date,province
http://idealista.com/venta-viviendas/vitoria-gasteiz/armentia-ciudad-jardin/,121,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/aretxabaleta/,40,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/aranzabela-aranbizkarra/,139,2019-03-28,alava
http://idealista.com/venta-viviendas/vitoria-gasteiz/adurtza/,77,2019-03-28,alava
http://idealista.com/venta-viviendas/alava/laguardia-rioja-alavesa/laguardia-rioja-alavesa/,327,2019-03-28,alava
http://idealista.com/venta-viviendas/alava/campezo-montana-alavesa/area-de-campezo-montana-alavesa/,90,2019-03-28,alava
http://idealista.com/venta-viviendas/alava/ayala/area-de-ayala/,323,2019-03-28,alava
http://idealista.com/venta-viviendas/alava/anana/area-de-anana/,271,2019-03-28,alava
http://idealista.com/venta-viviendas/albacete/campo-de-hellin/area-del-campo-de-hellin/,522,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/sierra-de-alcaraz-segura/,428,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/la-manchuela/area-de-la-manchuela/,320,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/la-mancha/,841,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/corredor-de-almansa/area-del-corredor-de-almansa/,420,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/centro/area-de-chinchilla-de-monte-aragon/,444,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/centro/area-de-barrax/,142,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/villacerrada-centro/,178,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/san-pablo-santa-teresa/,384,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/san-antonio-abad-poligono-san-anton/,154,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/pedro-lamata-san-pedro-mortero/,191,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/medicina/,49,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/la-pajarita/,97,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/la-milagrosa-la-estrella/,11,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/industria-los-llanos/,240,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/hospital-parque-sur/,257,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/hermanos-falco-sepulcro-bolera/,146,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/franciscanos/,450,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/feria/,100,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/fatima/,258,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/el-pilar/,250,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/carretas-huerta-de-marzo/,324,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/canicas-canal-de-maria-cristina/,78,2019-03-28,albacete
http://idealista.com/venta-viviendas/alicante/alt-vinalopo/,1055,2019-03-28,alicante
http://idealista.com/venta-viviendas/pinoso-alicante/,88,2019-03-28,alicante
http://idealista.com/venta-viviendas/polop-alicante/,385,2019-03-28,alicante
http://idealista.com/venta-viviendas/la-nucia-alicante/,1410,2019-03-28,alicante
http://idealista.com/venta-viviendas/cala-de-villajoyosa-alicante/,631,2019-03-28,alicante
http://idealista.com/venta-viviendas/la-villajoyosa-vila-joiosa-alicante/,748,2019-03-28,alicante
http://idealista.com/venta-viviendas/benidorm/rincon-de-loix/,1235,2019-03-28,alicante
http://idealista.com/venta-viviendas/benidorm/puerto/,48,2019-03-28,alicante
http://idealista.com/venta-viviendas/benidorm/pueblo-poniente/,414,2019-03-28,alicante
http://idealista.com/venta-viviendas/benidorm/pueblo-levante/,732,2019-03-28,alicante
http://idealista.com/venta-viviendas/benidorm/playa-de-poniente/,657,2019-03-28,alicante
http://idealista.com/venta-viviendas/benidorm/playa-de-levante/,396,2019-03-28,alicante
http://idealista.com/venta-viviendas/benidorm/centro-urbano/,381,2019-03-28,alicante
http://idealista.com/venta-viviendas/finestrat-alicante/,1251,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/marina-baixa/area-de-callosa-d-en-sarria/,391,2019-03-28,alicante
http://idealista.com/venta-viviendas/alfaz-del-pi-alicante/,1237,2019-03-28,alicante
http://idealista.com/venta-viviendas/altea-alicante/,1698,2019-03-28,alicante
http://idealista.com/venta-viviendas/petrer-alicante/,325,2019-03-28,alicante
http://idealista.com/venta-viviendas/novelda-alicante/,369,2019-03-28,alicante
http://idealista.com/venta-viviendas/monovar-alicante/,290,2019-03-28,alicante
http://idealista.com/venta-viviendas/monforte-del-cid-alicante/,276,2019-03-28,alicante
http://idealista.com/venta-viviendas/elda-alicante/,705,2019-03-28,alicante
http://idealista.com/venta-viviendas/aspe-alicante/,480,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/vinalopo-mitja/area-de-hondon/,149,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/vinalopo-mitja/alguena-la-romana/,69,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/comtat/,555,2019-03-28,alicante
http://idealista.com/venta-viviendas/san-vicente-del-raspeig-alicante/,1190,2019-03-28,alicante
http://idealista.com/venta-viviendas/san-juan-de-alicante-alicante/,831,2019-03-28,alicante
http://idealista.com/venta-viviendas/mutxamel-alicante/,1284,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/l-alacanti/jijona-xixona/,287,2019-03-28,alicante
http://idealista.com/venta-viviendas/busot-alicante/,333,2019-03-28,alicante
http://idealista.com/venta-viviendas/el-campello/pueblo-espanol-coveta-fuma/,419,2019-03-28,alicante
