"ambitos territoriales";"tipo de renta";"sexo";"2016"
"Durangaldea / Duranguesado";"Renta disponible";"Total";17119
"Enkartazioak / Encartaciones";"Renta total";"Total";16847
"Enkartazioak / Encartaciones";"Renta del trabajo";"Total";10026
"Enkartazioak / Encartaciones";"Renta capital mobiliario";"Total";546
"Enkartazioak / Encartaciones";"Renta capital inmobiliario";"Total";259
"Enkartazioak / Encartaciones";"Renta de actividades";"Total";992
"Enkartazioak / Encartaciones";"Transferencias";"Total";5024
"Enkartazioak / Encartaciones";"Renta disponible";"Total";14484
"Errioxa Arabarra / Rioja Alavesa";"Renta total";"Total";16689
"Errioxa Arabarra / Rioja Alavesa";"Renta del trabajo";"Total";7890
"Errioxa Arabarra / Rioja Alavesa";"Renta capital mobiliario";"Total";888
"Errioxa Arabarra / Rioja Alavesa";"Renta capital inmobiliario";"Total";383
"Errioxa Arabarra / Rioja Alavesa";"Renta de actividades";"Total";3351
"Errioxa Arabarra / Rioja Alavesa";"Transferencias";"Total";4176
"Errioxa Arabarra / Rioja Alavesa";"Renta disponible";"Total";14253
"Gernika-Bermeo";"Renta total";"Total";19675
"Gernika-Bermeo";"Renta del trabajo";"Total";11469
"Gernika-Bermeo";"Renta capital mobiliario";"Total";1582
"Gernika-Bermeo";"Renta capital inmobiliario";"Total";327
"Gernika-Bermeo";"Renta de actividades";"Total";934
"Gernika-Bermeo";"Transferencias";"Total";5363
"Gernika-Bermeo";"Renta disponible";"Total";16544
"Goierri";"Renta total";"Total";22515
"Goierri";"Renta del trabajo";"Total";13478
"Goierri";"Renta capital mobiliario";"Total";1619
"Goierri";"Renta capital inmobiliario";"Total";293
"Goierri";"Renta de actividades";"Total";825
"Goierri";"Transferencias";"Total";6299
"Goierri";"Renta disponible";"Total";19086
"Gorbeia Inguruak / Estribaciones del Gorbea";"Renta total";"Total";23259
"Gorbeia Inguruak / Estribaciones del Gorbea";"Renta del trabajo";"Total";15363
"Gorbeia Inguruak / Estribaciones del Gorbea";"Renta capital mobiliario";"Total";1437
"Gorbeia Inguruak / Estribaciones del Gorbea";"Renta capital inmobiliario";"Total";449
"Gorbeia Inguruak / Estribaciones del Gorbea";"Renta de actividades";"Total";1236
"Gorbeia Inguruak / Estribaciones del Gorbea";"Transferencias";"Total";4774
"Gorbeia Inguruak / Estribaciones del Gorbea";"Renta disponible";"Total";19190
"Kantauri Arabarra / Cantábrica Alavesa";"Renta total";"Total";18798
"Kantauri Arabarra / Cantábrica Alavesa";"Renta del trabajo";"Total";11227
"Kantauri Arabarra / Cantábrica Alavesa";"Renta capital mobiliario";"Total";774
"Kantauri Arabarra / Cantábrica Alavesa";"Renta capital inmobiliario";"Total";272
"Kantauri Arabarra / Cantábrica Alavesa";"Renta de actividades";"Total";801
"Kantauri Arabarra / Cantábrica Alavesa";"Transferencias";"Total";5724
"Kantauri Arabarra / Cantábrica Alavesa";"Renta disponible";"Total";15943
"Markina-Ondarroa";"Renta total";"Total";18639
"Markina-Ondarroa";"Renta del trabajo";"Total";11102
"Markina-Ondarroa";"Renta capital mobiliario";"Total";1119
"Markina-Ondarroa";"Renta capital inmobiliario";"Total";303
"Markina-Ondarroa";"Renta de actividades";"Total";926
"Markina-Ondarroa";"Transferencias";"Total";5189
"Markina-Ondarroa";"Renta disponible";"Total";15904
"Plentzia-Mungia";"Renta total";"Total";22933
"Plentzia-Mungia";"Renta del trabajo";"Total";15323
"Plentzia-Mungia";"Renta capital mobiliario";"Total";1218
"Plentzia-Mungia";"Renta capital inmobiliario";"Total";548
"Plentzia-Mungia";"Renta de actividades";"Total";1226
"Plentzia-Mungia";"Transferencias";"Total";4619
"Plentzia-Mungia";"Renta disponible";"Total";18797
"Tolosaldea/Tolosa";"Renta total";"Total";21066
"Tolosaldea/Tolosa";"Renta del trabajo";"Total";12803
"Tolosaldea/Tolosa";"Renta capital mobiliario";"Total";954
"Tolosaldea/Tolosa";"Renta capital inmobiliario";"Total";438
"Tolosaldea/Tolosa";"Renta de actividades";"Total";930
"Tolosaldea/Tolosa";"Transferencias";"Total";5941
"Tolosaldea/Tolosa";"Renta disponible";"Total";17894
"Urola-Kostaldea / Urola Costa";"Renta total";"Total";21666
"Urola-Kostaldea / Urola Costa";"Renta del trabajo";"Total";13056
"Urola-Kostaldea / Urola Costa";"Renta capital mobiliario";"Total";1377
"Urola-Kostaldea / Urola Costa";"Renta capital inmobiliario";"Total";525
"Urola-Kostaldea / Urola Costa";"Renta de actividades";"Total";1099
"Urola-Kostaldea / Urola Costa";"Transferencias";"Total";5608
"Urola-Kostaldea / Urola Costa";"Renta disponible";"Total";18267
"Abadiño";"Renta total";"Total";20907
"Abadiño";"Renta del trabajo";"Total";13824
"Abadiño";"Renta capital mobiliario";"Total";967
"Abadiño";"Renta capital inmobiliario";"Total";262
"Abadiño";"Renta de actividades";"Total";695
"Abadiño";"Transferencias";"Total";5158
"Abadiño";"Renta disponible";"Total";17620
"Abaltzisketa";"Renta total";"Total";20659
"Abaltzisketa";"Renta del trabajo";"Total";12495
"Abaltzisketa";"Renta capital mobiliario";"Total";833
"Abaltzisketa";"Renta capital inmobiliario";"Total";338
"Abaltzisketa";"Renta de actividades";"Total";1614
"Abaltzisketa";"Transferencias";"Total";5379
"Abaltzisketa";"Renta disponible";"Total";17690
"Abanto y Ciérvana-Abanto Zierbena";"Renta total";"Total";17514
"Abanto y Ciérvana-Abanto Zierbena";"Renta del trabajo";"Total";11485
"Abanto y Ciérvana-Abanto Zierbena";"Renta capital mobiliario";"Total";418
"Abanto y Ciérvana-Abanto Zierbena";"Renta capital inmobiliario";"Total";150
"Abanto y Ciérvana-Abanto Zierbena";"Renta de actividades";"Total";661
"Abanto y Ciérvana-Abanto Zierbena";"Transferencias";"Total";4798
"Abanto y Ciérvana-Abanto Zierbena";"Renta disponible";"Total";14941
"Aduna";"Renta total";"Total";22779
"Aduna";"Renta del trabajo";"Total";15775
"Aduna";"Renta capital mobiliario";"Total";724
"Aduna";"Renta capital inmobiliario";"Total";610
"Aduna";"Renta de actividades";"Total";1506
"Aduna";"Transferencias";"Total";4165
"Aduna";"Renta disponible";"Total";19276
"Agurain/Salvatierra";"Renta total";"Total";17689
"Agurain/Salvatierra";"Renta del trabajo";"Total";11576
"Agurain/Salvatierra";"Renta capital mobiliario";"Total";477
"Agurain/Salvatierra";"Renta capital inmobiliario";"Total";257
