"ambitos territoriales";"tipo de renta";"sexo";"2016"
"Bakio";"Renta capital inmobiliario";"Total";620
"Bakio";"Renta de actividades";"Total";1514
"Bakio";"Transferencias";"Total";4981
"Bakio";"Renta disponible";"Total";20225
"Baliarrain";"Renta total";"Total";21982
"Baliarrain";"Renta del trabajo";"Total";15947
"Baliarrain";"Renta capital mobiliario";"Total";824
"Baliarrain";"Renta capital inmobiliario";"Total";123
"Baliarrain";"Renta de actividades";"Total";1120
"Baliarrain";"Transferencias";"Total";3967
"Baliarrain";"Renta disponible";"Total";18484
"Balmaseda";"Renta total";"Total";15747
"Balmaseda";"Renta del trabajo";"Total";9273
"Balmaseda";"Renta capital mobiliario";"Total";542
"Balmaseda";"Renta capital inmobiliario";"Total";227
"Balmaseda";"Renta de actividades";"Total";856
"Balmaseda";"Transferencias";"Total";4849
"Balmaseda";"Renta disponible";"Total";13614
"Baños de Ebro/Mañueta";"Renta total";"Total";15740
"Baños de Ebro/Mañueta";"Renta del trabajo";"Total";3304
"Baños de Ebro/Mañueta";"Renta capital mobiliario";"Total";359
"Baños de Ebro/Mañueta";"Renta capital inmobiliario";"Total";557
"Baños de Ebro/Mañueta";"Renta de actividades";"Total";8470
"Baños de Ebro/Mañueta";"Transferencias";"Total";3050
"Baños de Ebro/Mañueta";"Renta disponible";"Total";13228
"Barakaldo";"Renta total";"Total";16935
"Barakaldo";"Renta del trabajo";"Total";10312
"Barakaldo";"Renta capital mobiliario";"Total";447
"Barakaldo";"Renta capital inmobiliario";"Total";229
"Barakaldo";"Renta de actividades";"Total";602
"Barakaldo";"Transferencias";"Total";5345
"Barakaldo";"Renta disponible";"Total";14602
"Barrika";"Renta total";"Total";21751
"Barrika";"Renta del trabajo";"Total";13264
"Barrika";"Renta capital mobiliario";"Total";1381
"Barrika";"Renta capital inmobiliario";"Total";784
"Barrika";"Renta de actividades";"Total";1060
"Barrika";"Transferencias";"Total";5262
"Barrika";"Renta disponible";"Total";17939
"Barrundia";"Renta total";"Total";22785
"Barrundia";"Renta del trabajo";"Total";14352
"Barrundia";"Renta capital mobiliario";"Total";706
"Barrundia";"Renta capital inmobiliario";"Total";592
"Barrundia";"Renta de actividades";"Total";2321
"Barrundia";"Transferencias";"Total";4814
"Barrundia";"Renta disponible";"Total";18932
"Basauri";"Renta total";"Total";16446
"Basauri";"Renta del trabajo";"Total";9415
"Basauri";"Renta capital mobiliario";"Total";476
"Basauri";"Renta capital inmobiliario";"Total";214
"Basauri";"Renta de actividades";"Total";587
"Basauri";"Transferencias";"Total";5755
"Basauri";"Renta disponible";"Total";14271
"Beasain";"Renta total";"Total";24179
"Beasain";"Renta del trabajo";"Total";13977
"Beasain";"Renta capital mobiliario";"Total";3056
"Beasain";"Renta capital inmobiliario";"Total";387
"Beasain";"Renta de actividades";"Total";856
"Beasain";"Transferencias";"Total";5903
"Beasain";"Renta disponible";"Total";20162
"Bedia";"Renta total";"Total";18439
"Bedia";"Renta del trabajo";"Total";12252
"Bedia";"Renta capital mobiliario";"Total";521
"Bedia";"Renta capital inmobiliario";"Total";291
"Bedia";"Renta de actividades";"Total";733
"Bedia";"Transferencias";"Total";4642
"Bedia";"Renta disponible";"Total";15696
"Beizama";"Renta total";"Total";18252
"Beizama";"Renta del trabajo";"Total";11614
"Beizama";"Renta capital mobiliario";"Total";982
"Beizama";"Renta capital inmobiliario";"Total";107
"Beizama";"Renta de actividades";"Total";1796
"Beizama";"Transferencias";"Total";3752
"Beizama";"Renta disponible";"Total";15522
"Belauntza";"Renta total";"Total";21397
"Belauntza";"Renta del trabajo";"Total";10108
"Belauntza";"Renta capital mobiliario";"Total";1010
"Belauntza";"Renta capital inmobiliario";"Total";945
"Belauntza";"Renta de actividades";"Total";1451
"Belauntza";"Transferencias";"Total";7883
"Belauntza";"Renta disponible";"Total";18203
"Berango";"Renta total";"Total";24935
"Berango";"Renta del trabajo";"Total";17303
"Berango";"Renta capital mobiliario";"Total";1096
"Berango";"Renta capital inmobiliario";"Total";566
"Berango";"Renta de actividades";"Total";1364
"Berango";"Transferencias";"Total";4606
"Berango";"Renta disponible";"Total";20247
"Berantevilla";"Renta total";"Total";17077
"Berantevilla";"Renta del trabajo";"Total";8729
"Berantevilla";"Renta capital mobiliario";"Total";637
"Berantevilla";"Renta capital inmobiliario";"Total";544
"Berantevilla";"Renta de actividades";"Total";2550
"Berantevilla";"Transferencias";"Total";4617
"Berantevilla";"Renta disponible";"Total";14458
"Berastegi";"Renta total";"Total";20678
"Berastegi";"Renta del trabajo";"Total";12901
"Berastegi";"Renta capital mobiliario";"Total";525
"Berastegi";"Renta capital inmobiliario";"Total";244
"Berastegi";"Renta de actividades";"Total";1208
"Berastegi";"Transferencias";"Total";5799
"Berastegi";"Renta disponible";"Total";17641
"Bergara";"Renta total";"Total";22754
"Bergara";"Renta del trabajo";"Total";13230
"Bergara";"Renta capital mobiliario";"Total";1404
"Bergara";"Renta capital inmobiliario";"Total";291
"Bergara";"Renta de actividades";"Total";713
"Bergara";"Transferencias";"Total";7116
"Bergara";"Renta disponible";"Total";19289
"Bermeo";"Renta total";"Total";18279
"Bermeo";"Renta del trabajo";"Total";10257
"Bermeo";"Renta capital mobiliario";"Total";1472
"Bermeo";"Renta capital inmobiliario";"Total";258
"Bermeo";"Renta de actividades";"Total";742
"Bermeo";"Transferencias";"Total";5550
"Bermeo";"Renta disponible";"Total";15527
"Bernedo";"Renta total";"Total";18824
"Bernedo";"Renta del trabajo";"Total";10632
"Bernedo";"Renta capital mobiliario";"Total";587
"Bernedo";"Renta capital inmobiliario";"Total";276
"Bernedo";"Renta de actividades";"Total";2199
"Bernedo";"Transferencias";"Total";5130
"Bernedo";"Renta disponible";"Total";16148
"Berriatua";"Renta total";"Total";18911
"Berriatua";"Renta del trabajo";"Total";11483
"Berriatua";"Renta capital mobiliario";"Total";1084
"Berriatua";"Renta capital inmobiliario";"Total";330
"Berriatua";"Renta de actividades";"Total";998
"Berriatua";"Transferencias";"Total";5015
"Berriatua";"Renta disponible";"Total";16167
"Bérriz";"Renta total";"Total";20429
"Bérriz";"Renta del trabajo";"Total";12788
"Bérriz";"Renta capital mobiliario";"Total";1325
"Bérriz";"Renta capital inmobiliario";"Total";402
"Bérriz";"Renta de actividades";"Total";840
"Bérriz";"Transferencias";"Total";5073
"Bérriz";"Renta disponible";"Total";17173
"Berrobi";"Renta total";"Total";20274
"Berrobi";"Renta del trabajo";"Total";13374
"Berrobi";"Renta capital mobiliario";"Total";654
"Berrobi";"Renta capital inmobiliario";"Total";191
"Berrobi";"Renta de actividades";"Total";599
"Berrobi";"Transferencias";"Total";5456
"Berrobi";"Renta disponible";"Total";17260
"Bidania-Goiatz";"Renta total";"Total";19521
"Bidania-Goiatz";"Renta del trabajo";"Total";13550
"Bidania-Goiatz";"Renta capital mobiliario";"Total";371
"Bidania-Goiatz";"Renta capital inmobiliario";"Total";201
"Bidania-Goiatz";"Renta de actividades";"Total";1071
"Bidania-Goiatz";"Transferencias";"Total";4329
"Bidania-Goiatz";"Renta disponible";"Total";16735
"Bilbao";"Renta total";"Total";20526
"Bilbao";"Renta del trabajo";"Total";11855
"Bilbao";"Renta capital mobiliario";"Total";1467
"Bilbao";"Renta capital inmobiliario";"Total";477
"Bilbao";"Renta de actividades";"Total";1064
"Bilbao";"Transferencias";"Total";5662
"Bilbao";"Renta disponible";"Total";16976
"Busturia";"Renta total";"Total";18808
"Busturia";"Renta del trabajo";"Total";10945
"Busturia";"Renta capital mobiliario";"Total";806
"Busturia";"Renta capital inmobiliario";"Total";231
"Busturia";"Renta de actividades";"Total";795
"Busturia";"Transferencias";"Total";6031
"Busturia";"Renta disponible";"Total";15965
"Campezo/Kanpezu";"Renta total";"Total";17398
"Campezo/Kanpezu";"Renta del trabajo";"Total";9621
"Campezo/Kanpezu";"Renta capital mobiliario";"Total";914
"Campezo/Kanpezu";"Renta capital inmobiliario";"Total";260
"Campezo/Kanpezu";"Renta de actividades";"Total";1426
"Campezo/Kanpezu";"Transferencias";"Total";5176
"Campezo/Kanpezu";"Renta disponible";"Total";14946
"Deba";"Renta total";"Total";22065
"Deba";"Renta del trabajo";"Total";13004
"Deba";"Renta capital mobiliario";"Total";1359
"Deba";"Renta capital inmobiliario";"Total";417
"Deba";"Renta de actividades";"Total";1019
"Deba";"Transferencias";"Total";6266
"Deba";"Renta disponible";"Total";18633
"Derio";"Renta total";"Total";19557
"Derio";"Renta del trabajo";"Total";13220
"Derio";"Renta capital mobiliario";"Total";690
"Derio";"Renta capital inmobiliario";"Total";346
"Derio";"Renta de actividades";"Total";928
"Derio";"Transferencias";"Total";4374
"Derio";"Renta disponible";"Total";16652
"Dima";"Renta total";"Total";21606
"Dima";"Renta del trabajo";"Total";14907
"Dima";"Renta capital mobiliario";"Total";660
"Dima";"Renta capital inmobiliario";"Total";479
"Dima";"Renta de actividades";"Total";1052
"Dima";"Transferencias";"Total";4507
"Dima";"Renta disponible";"Total";18101
"Donostia / San Sebastián";"Renta total";"Total";24552
"Donostia / San Sebastián";"Renta del trabajo";"Total";13447
"Donostia / San Sebastián";"Renta capital mobiliario";"Total";2226
"Donostia / San Sebastián";"Renta capital inmobiliario";"Total";842
"Donostia / San Sebastián";"Renta de actividades";"Total";1355
"Donostia / San Sebastián";"Transferencias";"Total";6682
"Donostia / San Sebastián";"Renta disponible";"Total";20206
"Durango";"Renta total";"Total";22099
"Durango";"Renta del trabajo";"Total";14236
"Durango";"Renta capital mobiliario";"Total";1373
"Durango";"Renta capital inmobiliario";"Total";406
"Durango";"Renta de actividades";"Total";1265
"Durango";"Transferencias";"Total";4819
"Durango";"Renta disponible";"Total";18235
"Ea";"Renta total";"Total";19788
"Ea";"Renta del trabajo";"Total";10872
"Ea";"Renta capital mobiliario";"Total";1797
"Ea";"Renta capital inmobiliario";"Total";240
"Ea";"Renta de actividades";"Total";1197
"Ea";"Transferencias";"Total";5682
"Ea";"Renta disponible";"Total";16649
"Eibar";"Renta total";"Total";22937
"Eibar";"Renta del trabajo";"Total";11774
"Eibar";"Renta capital mobiliario";"Total";3165
"Eibar";"Renta capital inmobiliario";"Total";395
"Eibar";"Renta de actividades";"Total";741
"Eibar";"Transferencias";"Total";6862
"Eibar";"Renta disponible";"Total";19293
"Elantxobe";"Renta total";"Total";16778
"Elantxobe";"Renta del trabajo";"Total";8274
"Elantxobe";"Renta capital mobiliario";"Total";705
"Elantxobe";"Renta capital inmobiliario";"Total";133
"Elantxobe";"Renta de actividades";"Total";586
"Elantxobe";"Transferencias";"Total";7079
"Elantxobe";"Renta disponible";"Total";14593
"Elburgo/Burgelu";"Renta total";"Total";22737
"Elburgo/Burgelu";"Renta del trabajo";"Total";15476
"Elburgo/Burgelu";"Renta capital mobiliario";"Total";724
"Elburgo/Burgelu";"Renta capital inmobiliario";"Total";769
"Elburgo/Burgelu";"Renta de actividades";"Total";1828
"Elburgo/Burgelu";"Transferencias";"Total";3941
"Elburgo/Burgelu";"Renta disponible";"Total";18737
"Elciego";"Renta total";"Total";20020
"Elciego";"Renta del trabajo";"Total";9999
"Elciego";"Renta capital mobiliario";"Total";1468
"Elciego";"Renta capital inmobiliario";"Total";369
"Elciego";"Renta de actividades";"Total";3185
"Elciego";"Transferencias";"Total";5000
"Elciego";"Renta disponible";"Total";16527
"Elduain";"Renta total";"Total";23877
"Elduain";"Renta del trabajo";"Total";15679
"Elduain";"Renta capital mobiliario";"Total";550
"Elduain";"Renta capital inmobiliario";"Total";158
"Elduain";"Renta de actividades";"Total";728
"Elduain";"Transferencias";"Total";6762
"Elduain";"Renta disponible";"Total";19828
"Elgeta";"Renta total";"Total";22787
"Elgeta";"Renta del trabajo";"Total";14913
"Elgeta";"Renta capital mobiliario";"Total";1097
"Elgeta";"Renta capital inmobiliario";"Total";368
"Elgeta";"Renta de actividades";"Total";1303
"Elgeta";"Transferencias";"Total";5107
"Elgeta";"Renta disponible";"Total";19366
"Elgoibar";"Renta total";"Total";21714
"Elgoibar";"Renta del trabajo";"Total";13031
"Elgoibar";"Renta capital mobiliario";"Total";1366
"Elgoibar";"Renta capital inmobiliario";"Total";361
"Elgoibar";"Renta de actividades";"Total";713
"Elgoibar";"Transferencias";"Total";6243
"Elgoibar";"Renta disponible";"Total";18336
"Elorrio";"Renta total";"Total";21003
"Elorrio";"Renta del trabajo";"Total";12977
"Elorrio";"Renta capital mobiliario";"Total";1594
"Elorrio";"Renta capital inmobiliario";"Total";288
"Elorrio";"Renta de actividades";"Total";745
"Elorrio";"Transferencias";"Total";5398
"Elorrio";"Renta disponible";"Total";17697
"Elvillar/Bilar";"Renta total";"Total";15904
"Elvillar/Bilar";"Renta del trabajo";"Total";4623
"Elvillar/Bilar";"Renta capital mobiliario";"Total";910
"Elvillar/Bilar";"Renta capital inmobiliario";"Total";309
"Elvillar/Bilar";"Renta de actividades";"Total";6430
"Elvillar/Bilar";"Transferencias";"Total";3632
"Elvillar/Bilar";"Renta disponible";"Total";13966
"Erandio";"Renta total";"Total";16001
"Erandio";"Renta del trabajo";"Total";9917
"Erandio";"Renta capital mobiliario";"Total";364
"Erandio";"Renta capital inmobiliario";"Total";203
"Erandio";"Renta de actividades";"Total";684
"Erandio";"Transferencias";"Total";4833
"Erandio";"Renta disponible";"Total";13915
"Ereño";"Renta total";"Total";23088
"Ereño";"Renta del trabajo";"Total";13461
"Ereño";"Renta capital mobiliario";"Total";1595
"Ereño";"Renta capital inmobiliario";"Total";626
"Ereño";"Renta de actividades";"Total";1179
"Ereño";"Transferencias";"Total";6226
"Ereño";"Renta disponible";"Total";18659
"Ermua";"Renta total";"Total";17660
"Ermua";"Renta del trabajo";"Total";10869
"Ermua";"Renta capital mobiliario";"Total";581
"Ermua";"Renta capital inmobiliario";"Total";218
"Ermua";"Renta de actividades";"Total";664
"Ermua";"Transferencias";"Total";5328
"Ermua";"Renta disponible";"Total";15173
"Errenteria";"Renta total";"Total";17440
"Errenteria";"Renta del trabajo";"Total";10192
"Errenteria";"Renta capital mobiliario";"Total";453
"Errenteria";"Renta capital inmobiliario";"Total";255
"Errenteria";"Renta de actividades";"Total";718
"Errenteria";"Transferencias";"Total";5822
"Errenteria";"Renta disponible";"Total";15168
"Errezil";"Renta total";"Total";17701
"Errezil";"Renta del trabajo";"Total";10274
"Errezil";"Renta capital mobiliario";"Total";829
"Errezil";"Renta capital inmobiliario";"Total";211
"Errezil";"Renta de actividades";"Total";1296
"Errezil";"Transferencias";"Total";5091
"Errezil";"Renta disponible";"Total";15531
"Erriberagoitia/Ribera Alta";"Renta total";"Total";20898
"Erriberagoitia/Ribera Alta";"Renta del trabajo";"Total";13147
"Erriberagoitia/Ribera Alta";"Renta capital mobiliario";"Total";392
"Erriberagoitia/Ribera Alta";"Renta capital inmobiliario";"Total";425
"Erriberagoitia/Ribera Alta";"Renta de actividades";"Total";2134
"Erriberagoitia/Ribera Alta";"Transferencias";"Total";4800
"Erriberagoitia/Ribera Alta";"Renta disponible";"Total";17610
"Errigoiti";"Renta total";"Total";20468
"Errigoiti";"Renta del trabajo";"Total";11155
"Errigoiti";"Renta capital mobiliario";"Total";971
"Errigoiti";"Renta capital inmobiliario";"Total";514
"Errigoiti";"Renta de actividades";"Total";1984
"Errigoiti";"Transferencias";"Total";5844
"Errigoiti";"Renta disponible";"Total";17112
"Eskoriatza";"Renta total";"Total";23103
"Eskoriatza";"Renta del trabajo";"Total";13489
"Eskoriatza";"Renta capital mobiliario";"Total";1671
"Eskoriatza";"Renta capital inmobiliario";"Total";280
"Eskoriatza";"Renta de actividades";"Total";712
"Eskoriatza";"Transferencias";"Total";6951
"Eskoriatza";"Renta disponible";"Total";20090
"Etxebarri";"Renta total";"Total";19802
"Etxebarri";"Renta del trabajo";"Total";14187
"Etxebarri";"Renta capital mobiliario";"Total";456
"Etxebarri";"Renta capital inmobiliario";"Total";245
"Etxebarri";"Renta de actividades";"Total";989
"Etxebarri";"Transferencias";"Total";3924
"Etxebarri";"Renta disponible";"Total";16847
"Etxebarria";"Renta total";"Total";20497
"Etxebarria";"Renta del trabajo";"Total";12865
"Etxebarria";"Renta capital mobiliario";"Total";1170
"Etxebarria";"Renta capital inmobiliario";"Total";224
"Etxebarria";"Renta de actividades";"Total";1041
"Etxebarria";"Transferencias";"Total";5196
"Etxebarria";"Renta disponible";"Total";17444
"Ezkio-Itsaso";"Renta total";"Total";25070
"Ezkio-Itsaso";"Renta del trabajo";"Total";14674
"Ezkio-Itsaso";"Renta capital mobiliario";"Total";2184
"Ezkio-Itsaso";"Renta capital inmobiliario";"Total";262
"Ezkio-Itsaso";"Renta de actividades";"Total";1621
"Ezkio-Itsaso";"Transferencias";"Total";6328
"Ezkio-Itsaso";"Renta disponible";"Total";21246
"Forua";"Renta total";"Total";18908
"Forua";"Renta del trabajo";"Total";11436
"Forua";"Renta capital mobiliario";"Total";1194
"Forua";"Renta capital inmobiliario";"Total";291
"Forua";"Renta de actividades";"Total";969
"Forua";"Transferencias";"Total";5018
"Forua";"Renta disponible";"Total";15941
"Fruiz";"Renta total";"Total";21506
"Fruiz";"Renta del trabajo";"Total";14405
"Fruiz";"Renta capital mobiliario";"Total";950
"Fruiz";"Renta capital inmobiliario";"Total";388
"Fruiz";"Renta de actividades";"Total";855
"Fruiz";"Transferencias";"Total";4908
"Fruiz";"Renta disponible";"Total";18049
"Gabiria";"Renta total";"Total";25703
"Gabiria";"Renta del trabajo";"Total";15603
"Gabiria";"Renta capital mobiliario";"Total";2120
"Gabiria";"Renta capital inmobiliario";"Total";314
"Gabiria";"Renta de actividades";"Total";1723
"Gabiria";"Transferencias";"Total";5943
"Gabiria";"Renta disponible";"Total";21458
"Gaintza";"Renta total";"Total";20694
"Gaintza";"Renta del trabajo";"Total";11778
"Gaintza";"Renta capital mobiliario";"Total";705
"Gaintza";"Renta capital inmobiliario";"Total";579
"Gaintza";"Renta de actividades";"Total";1210
"Gaintza";"Transferencias";"Total";6422
"Gaintza";"Renta disponible";"Total";17580
"Galdakao";"Renta total";"Total";20225
"Galdakao";"Renta del trabajo";"Total";12969
"Galdakao";"Renta capital mobiliario";"Total";794
"Galdakao";"Renta capital inmobiliario";"Total";337
"Galdakao";"Renta de actividades";"Total";852
"Galdakao";"Transferencias";"Total";5272
"Galdakao";"Renta disponible";"Total";16935
"Galdames";"Renta total";"Total";19103
"Galdames";"Renta del trabajo";"Total";11474
"Galdames";"Renta capital mobiliario";"Total";547
"Galdames";"Renta capital inmobiliario";"Total";271
"Galdames";"Renta de actividades";"Total";948
"Galdames";"Transferencias";"Total";5863
"Galdames";"Renta disponible";"Total";16276
"Gamiz-Fika";"Renta total";"Total";23989
"Gamiz-Fika";"Renta del trabajo";"Total";14611
"Gamiz-Fika";"Renta capital mobiliario";"Total";1661
"Gamiz-Fika";"Renta capital inmobiliario";"Total";714
"Gamiz-Fika";"Renta de actividades";"Total";1843
"Gamiz-Fika";"Transferencias";"Total";5161
"Gamiz-Fika";"Renta disponible";"Total";19451
"Garai";"Renta total";"Total";29092
"Garai";"Renta del trabajo";"Total";19112
"Garai";"Renta capital mobiliario";"Total";1981
"Garai";"Renta capital inmobiliario";"Total";1865
"Garai";"Renta de actividades";"Total";1088
"Garai";"Transferencias";"Total";5045
"Garai";"Renta disponible";"Total";23169
"Gatika";"Renta total";"Total";21963
"Gatika";"Renta del trabajo";"Total";14856
"Gatika";"Renta capital mobiliario";"Total";591
"Gatika";"Renta capital inmobiliario";"Total";419
"Gatika";"Renta de actividades";"Total";1015
"Gatika";"Transferencias";"Total";5081
"Gatika";"Renta disponible";"Total";18256
"Gautegiz Arteaga";"Renta total";"Total";23012
"Gautegiz Arteaga";"Renta del trabajo";"Total";14563
"Gautegiz Arteaga";"Renta capital mobiliario";"Total";1313
"Gautegiz Arteaga";"Renta capital inmobiliario";"Total";572
"Gautegiz Arteaga";"Renta de actividades";"Total";1110
"Gautegiz Arteaga";"Transferencias";"Total";5453
"Gautegiz Arteaga";"Renta disponible";"Total";18809
"Gaztelu";"Renta total";"Total";18677
"Gaztelu";"Renta del trabajo";"Total";10252
"Gaztelu";"Renta capital mobiliario";"Total";425
"Gaztelu";"Renta capital inmobiliario";"Total";251
"Gaztelu";"Renta de actividades";"Total";1141
"Gaztelu";"Transferencias";"Total";6608
"Gaztelu";"Renta disponible";"Total";16381
"Gernika-Lumo";"Renta total";"Total";19806
"Gernika-Lumo";"Renta del trabajo";"Total";11864
"Gernika-Lumo";"Renta capital mobiliario";"Total";1539
"Gernika-Lumo";"Renta capital inmobiliario";"Total";343
"Gernika-Lumo";"Renta de actividades";"Total";997
"Gernika-Lumo";"Transferencias";"Total";5063
"Gernika-Lumo";"Renta disponible";"Total";16628
"Getaria";"Renta total";"Total";21885
"Getaria";"Renta del trabajo";"Total";13081
"Getaria";"Renta capital mobiliario";"Total";791
"Getaria";"Renta capital inmobiliario";"Total";720
"Getaria";"Renta de actividades";"Total";2171
"Getaria";"Transferencias";"Total";5121
"Getaria";"Renta disponible";"Total";18263
"Getxo";"Renta total";"Total";27067
"Getxo";"Renta del trabajo";"Total";15301
"Getxo";"Renta capital mobiliario";"Total";3248
"Getxo";"Renta capital inmobiliario";"Total";786
"Getxo";"Renta de actividades";"Total";1693
"Getxo";"Transferencias";"Total";6039
"Getxo";"Renta disponible";"Total";21402
"Gizaburuaga";"Renta total";"Total";22462
"Gizaburuaga";"Renta del trabajo";"Total";15065
"Gizaburuaga";"Renta capital mobiliario";"Total";2122
"Gizaburuaga";"Renta capital inmobiliario";"Total";277
"Gizaburuaga";"Renta de actividades";"Total";452
"Gizaburuaga";"Transferencias";"Total";4547
"Gizaburuaga";"Renta disponible";"Total";18736
"Gordexola";"Renta total";"Total";21356
"Gordexola";"Renta del trabajo";"Total";13652
"Gordexola";"Renta capital mobiliario";"Total";1068
"Gordexola";"Renta capital inmobiliario";"Total";344
"Gordexola";"Renta de actividades";"Total";1227
"Gordexola";"Transferencias";"Total";5066
"Gordexola";"Renta disponible";"Total";17766
"Gorliz";"Renta total";"Total";22435
"Gorliz";"Renta del trabajo";"Total";14866
"Gorliz";"Renta capital mobiliario";"Total";1067
"Gorliz";"Renta capital inmobiliario";"Total";551
"Gorliz";"Renta de actividades";"Total";1131
"Gorliz";"Transferencias";"Total";4820
"Gorliz";"Renta disponible";"Total";18454
"Güeñes";"Renta total";"Total";17269
"Güeñes";"Renta del trabajo";"Total";10992
"Güeñes";"Renta capital mobiliario";"Total";457
"Güeñes";"Renta capital inmobiliario";"Total";227
"Güeñes";"Renta de actividades";"Total";812
"Güeñes";"Transferencias";"Total";4782
"Güeñes";"Renta disponible";"Total";14856
"Harana/Valle de Arana";"Renta total";"Total";15174
"Harana/Valle de Arana";"Renta del trabajo";"Total";5524
"Harana/Valle de Arana";"Renta capital mobiliario";"Total";525
"Harana/Valle de Arana";"Renta capital inmobiliario";"Total";242
"Harana/Valle de Arana";"Renta de actividades";"Total";2436
"Harana/Valle de Arana";"Transferencias";"Total";6447
"Harana/Valle de Arana";"Renta disponible";"Total";13547
"Hernani";"Renta total";"Total";19190
"Hernani";"Renta del trabajo";"Total";11674
"Hernani";"Renta capital mobiliario";"Total";783
"Hernani";"Renta capital inmobiliario";"Total";381
"Hernani";"Renta de actividades";"Total";822
"Hernani";"Transferencias";"Total";5530
"Hernani";"Renta disponible";"Total";16452
"Hernialde";"Renta total";"Total";20692
"Hernialde";"Renta del trabajo";"Total";12030
"Hernialde";"Renta capital mobiliario";"Total";914
"Hernialde";"Renta capital inmobiliario";"Total";830
"Hernialde";"Renta de actividades";"Total";1160
"Hernialde";"Transferencias";"Total";5759
"Hernialde";"Renta disponible";"Total";17676
"Hondarribia";"Renta total";"Total";23016
"Hondarribia";"Renta del trabajo";"Total";12594
"Hondarribia";"Renta capital mobiliario";"Total";2115
"Hondarribia";"Renta capital inmobiliario";"Total";913
"Hondarribia";"Renta de actividades";"Total";1625
"Hondarribia";"Transferencias";"Total";5769
"Hondarribia";"Renta disponible";"Total";19001
"Ibarra";"Renta total";"Total";19272
"Ibarra";"Renta del trabajo";"Total";11412
"Ibarra";"Renta capital mobiliario";"Total";715
"Ibarra";"Renta capital inmobiliario";"Total";228
"Ibarra";"Renta de actividades";"Total";725
"Ibarra";"Transferencias";"Total";6193
"Ibarra";"Renta disponible";"Total";16540
"Ibarrangelu";"Renta total";"Total";24324
"Ibarrangelu";"Renta del trabajo";"Total";15039
"Ibarrangelu";"Renta capital mobiliario";"Total";1145
"Ibarrangelu";"Renta capital inmobiliario";"Total";469
"Ibarrangelu";"Renta de actividades";"Total";1312
"Ibarrangelu";"Transferencias";"Total";6360
"Ibarrangelu";"Renta disponible";"Total";19969
"Idiazabal";"Renta total";"Total";25546
"Idiazabal";"Renta del trabajo";"Total";15030
"Idiazabal";"Renta capital mobiliario";"Total";2226
"Idiazabal";"Renta capital inmobiliario";"Total";384
"Idiazabal";"Renta de actividades";"Total";877
"Idiazabal";"Transferencias";"Total";7029
"Idiazabal";"Renta disponible";"Total";21551
"Igorre";"Renta total";"Total";19589
"Igorre";"Renta del trabajo";"Total";12768
"Igorre";"Renta capital mobiliario";"Total";734
"Igorre";"Renta capital inmobiliario";"Total";319
"Igorre";"Renta de actividades";"Total";734
"Igorre";"Transferencias";"Total";5034
"Igorre";"Renta disponible";"Total";16603
"Ikaztegieta";"Renta total";"Total";22130
"Ikaztegieta";"Renta del trabajo";"Total";10924
"Ikaztegieta";"Renta capital mobiliario";"Total";3921
"Ikaztegieta";"Renta capital inmobiliario";"Total";539
"Ikaztegieta";"Renta de actividades";"Total";862
"Ikaztegieta";"Transferencias";"Total";5884
"Ikaztegieta";"Renta disponible";"Total";18850
"Irun";"Renta total";"Total";17671
"Irun";"Renta del trabajo";"Total";10344
"Irun";"Renta capital mobiliario";"Total";697
"Irun";"Renta capital inmobiliario";"Total";444
"Irun";"Renta de actividades";"Total";966
"Irun";"Transferencias";"Total";5221
"Irun";"Renta disponible";"Total";15122
"Iruña Oka/Iruña de Oca";"Renta total";"Total";19904
"Iruña Oka/Iruña de Oca";"Renta del trabajo";"Total";14277
"Iruña Oka/Iruña de Oca";"Renta capital mobiliario";"Total";547
"Iruña Oka/Iruña de Oca";"Renta capital inmobiliario";"Total";386
"Iruña Oka/Iruña de Oca";"Renta de actividades";"Total";1069
"Iruña Oka/Iruña de Oca";"Transferencias";"Total";3625
"Iruña Oka/Iruña de Oca";"Renta disponible";"Total";16735
"Irura";"Renta total";"Total";22453
"Irura";"Renta del trabajo";"Total";16371
"Irura";"Renta capital mobiliario";"Total";608
"Irura";"Renta capital inmobiliario";"Total";446
"Irura";"Renta de actividades";"Total";1095
"Irura";"Transferencias";"Total";3933
"Irura";"Renta disponible";"Total";18926
"Iruraiz-Gauna";"Renta total";"Total";19358
"Iruraiz-Gauna";"Renta del trabajo";"Total";11881
"Iruraiz-Gauna";"Renta capital mobiliario";"Total";706
"Iruraiz-Gauna";"Renta capital inmobiliario";"Total";816
"Iruraiz-Gauna";"Renta de actividades";"Total";2351
"Iruraiz-Gauna";"Transferencias";"Total";3604
"Iruraiz-Gauna";"Renta disponible";"Total";16466
"Ispaster";"Renta total";"Total";20003
"Ispaster";"Renta del trabajo";"Total";12516
"Ispaster";"Renta capital mobiliario";"Total";987
"Ispaster";"Renta capital inmobiliario";"Total";199
"Ispaster";"Renta de actividades";"Total";1002
"Ispaster";"Transferencias";"Total";5299
"Ispaster";"Renta disponible";"Total";16826
"Itsasondo";"Renta total";"Total";19647
"Itsasondo";"Renta del trabajo";"Total";12029
"Itsasondo";"Renta capital mobiliario";"Total";865
"Itsasondo";"Renta capital inmobiliario";"Total";156
"Itsasondo";"Renta de actividades";"Total";1011
"Itsasondo";"Transferencias";"Total";5586
