ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,house_type2,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"E&F ASESORES, vende estupedo piso de unos 67 mts. reformado a capricho y listo para entrar a vivir en Avda. Zuberóa. Es un piso muy luminoso totalmente exterior con vistas a zonas ajardinadas. Se distribuye en hall, amplio salón comedor, dos habitaciones, cocina equipada con combi, lavadora, vitrocerámica, horno, microondas y un mirador cerrado donde se encuentra la caldera a modo de despensa o trastero y un amplio baño completo con bañera., , La vivienda dispone de puertas y suelos de madera, agua caliente y calefacción de gas propano con toma de gas hasta la ventana, puertas de madera climalit y puerta de entrada de seguridad., , No existe ninguna derrama pendiente y el portal está completamente reformado.  , , Rodeado de todo tipo de servicios, supermercados, farmacias, a escasos metros de via de tren y lineas de autobús., ,Excelente oportunidad de vivir rodeado de zona verde y en el centro. Llama y lo visitaremos sin compromiso.",Anuncio actualizado el 8 de marzo,0,0,1,0,0,segunda mano/buen estado,1916,en trámite,planta 2ª exterior,,1,,,81274081,Piso,,,0,Bilbao,Distrito Rekalde," , Barrio Irala , Distrito Rekalde , Bilbao , Gran Bilbao, Vizcaya ",Barrio Irala,,"Gran Bilbao, Vizcaya",73,,2019-03-25,,165000,0,2,0,0,0,
"FANTÁSTICA VIVIENDA EN LA ZONA DE ARTAZA. ES UNA CONSTRUCCION DE HACE 5 AÑOS. CERCA DE LAS TIENDAS DE LA ZONA, PARQUE Y PARADA DE AUTOBÚS. A 10 MINUTOS ANDANDO DE JOLASETA.,La vivienda tiene una superficie aproximada de 165m2. Tiene una terracita con vistas despejadas. ,Todos los espacios son amplios, sus habitaciones grandes y con mucha luz. Se distribuye en: ,Hall. ,Salón con zona de comedor aparte, muy amplio de 32 m2 aprox. con librería a medida y salida a la terraza.,El dormitorio principal es muy amplio, con vestidor aparte y cuarto de baño incorporado.,Otras tres habitaciones de muy buen tamaño, con sus armarios. ,Otro cuarto de baño completo y exterior. ,La cocina está en buen estado. Tiene una zona para comer.,Plaza de garaje.,1 trastero doble enorme.,En general la casa está en un buen edificio, es muy bonita y está prácticamente para entrar a vivir. Toda la carpintería está lacada en blanco y las calidades son buenas.",Anuncio actualizado el 6 de marzo,0,0,2,1,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,plaza de garaje incluida en el precio,0,,,81433881,Piso,,,1,Leioa,Distrito Negurigane-Peruri," , Distrito Negurigane-Peruri , Leioa , Gran Bilbao, Vizcaya ",,,"Gran Bilbao, Vizcaya",165,,2019-03-25,sur,585000,0,4,1,0,1,
"En el centro de LAS ARENAS, con todos los servicios a mano tenemos este precioso piso en perfecto estaco de conservación con una magnifica distribución, dispone de dos puertas de acceso y tiene muy buena altura lo que le proporciona una gran luminosidad:,Recibidor.,Salón - comedor con acceso a una terraza cerrada.,Dormitorio principal con cuarto de baño y acceso a la terraza cerrada.,2 dormitorios muy amplios con acceso a una terraza y con cuarto de baño compartido.,Cocina con oficio independiente y zona de lavadero.,Dormitorio y baño de servicio.,Garaje.",Anuncio actualizado el 2 de diciembre,0,0,3,1,0,segunda mano/buen estado,,en trámite,planta 5ª exterior,plaza de garaje incluida en el precio,0,,,81549531,Piso,,,1,Getxo,Distrito Las Arenas," , Barrio Las Arenas Centro , Distrito Las Arenas , Getxo , Gran Bilbao, Vizcaya ",Barrio Las Arenas Centro,,"Gran Bilbao, Vizcaya",200,,2019-03-25,,750000,0,4,0,0,1,
Exclusivo chalet unifamiliar situado en una zona privilegiada del barrio nocedal en ortuella. Está muy bien comunicado tanto por carretrera a a8 cómo por transporte público (bus y renfe). La casa está completamente reformada y equipada para entrar a vivir. Son un total de 278 m2 construidos divididos en tres alturas. Cuenta con todo lo necesario para disfrutar de una vida con todas las comodidades. Todo en perfecto estado con materiales de primera calidad. Infórmate aquí!,Anuncio actualizado el 23 de marzo,0,0,2,0,0,,,no indicado,,plaza de garaje incluida en el precio,0,,,82010583, Casa o chalet,casa o chalet,,,Ortuella,," , Ortuella , Gran Bilbao, Vizcaya ",,,"Gran Bilbao, Vizcaya",278,,2019-03-25,,475000,0,5,0,0,0,
"Vivienda de 3 dormitorios en una bonito edificio de Uribarri.,Es un segundo piso de unos 80 m2 útiles, divididos en 3 dormitorios, salón comedor, cocina con despensa y 1 baño.,Necesita una pequeña reforma, pero es un piso muy amplio, de techos altos que nos va a permitir dejarla a capricho.,Está bien comunicada, a un paso de bus, metro, Ayuntamiento.,Este inmueble procede de entidad bancaria, consulta la posibilidad de descuentos.,Ven a conocerlo! ,Está ubicado en Uribarri, con las nuevas rampas metálicas la subida es muy cómoda!,Más de 15 años ayudando a construir sueños, visita nuestra web! [IW].",Anuncio actualizado el 21 de marzo,0,0,1,0,0,,1948,,planta 2ª exterior,,0,,,82240115,Piso,,,0,Bilbao,Distrito Uribarri," , Barrio Campo Volantín-Castaños , Distrito Uribarri , Bilbao , Gran Bilbao, Vizcaya ",Barrio Campo Volantín-Castaños,,"Gran Bilbao, Vizcaya",86,77,2019-03-25,,267500,0,3,0,0,0,
"Ático en pleno Casco Viejo de Bilbao - Edificio emblemático.,La fachada ha sido recientemente reformada.,Se trata de un quinto piso, algo abuhardillado, pero es amplio y luminoso.,Dispone de 2 dormitorios, un salón super amplio, cocina reformada y baño.,Tiene calefacción, ventanas de doble acristalamiento, suelos de roble y gres, puerta acorazada.,Si te gusta vivir en el Casco Viejo no puedes dejar de visitarlo.,NO tiene ascensor.,Es una vivienda procedente de entidad bancaria, consulta posibilidad de descuentos! ,Más de 15 años ayudando a construir sueños, visita nuestra web!,[IW].",Anuncio actualizado el 21 de marzo,0,0,1,0,0,segunda mano/buen estado,1989,,planta 5ª exterior,,0,,,82240117,Piso,,,0,Bilbao,Distrito Casco Viejo," , Distrito Casco Viejo , Bilbao , Gran Bilbao, Vizcaya ",,,"Gran Bilbao, Vizcaya",87,73,2019-03-25,,236100,0,2,0,0,0,
"Bonita vivienda en Sestao, en la calle Gran Vía,A un paso de todos los servicios y en una zona tranquila.,Se trata de un piso de unos 65 m2 útiles divididos en 2 dormitorios, amplio salón comedor con cocina americana y 1 baño.,La vivienda está en buen estado, reformada, en edificio de hormigón.,Calefacción individual de gas.,Ventanas de PVC oscilobatientes con doble acristalamiento, suelos de parquet natural de Elondo y gres.,Puertas lacadas en blanco.,Además tiene una despensa de unos 4m2 y un tendedero de unos 5 m2,Acceso directo desde la calle y dispone de alarma.,Procede de entidad bancaria, consúltanos posibilidad de descuentos.,Más de 15 años ayudando a construir sueños, visita nuestra web!,[IW].",Anuncio actualizado el 21 de marzo,0,0,1,0,0,segunda mano/buen estado,1966,,exterior,,0,,,82309841,Piso,,,0,Sestao,Distrito Asilo - Rebonza - Urbinaga," , Distrito Asilo - Rebonza - Urbinaga , Sestao , Gran Bilbao, Vizcaya ",,,"Gran Bilbao, Vizcaya",77,65,2019-03-25,,166700,0,2,1,0,0,
"Espectacular vivienda situada en un lugar privilegiado de Neguri, recientemente actualizada, con unas vistas extraordinarias sobre el Abra, se caracteriza por disponer de espacios muy amplios con grandes ventanales lo que le proporciona una gran luminosidad ocupando una planta por vivienda lo que le aporta una gran independencia distribuyéndose de la siguiente manera:,Amplio recibidor distribuidor.,Gran salón - comedor con unas espectaculares vistas al Abra.,Sala de estar independiente.,Aseo de visitas.,Dormitorio principal en suite con vestidor y cuarto de baño con vistas frontales al Abra.,1 dormitorio doble tipo suite con vestidor y cuarto de baño.,2 dormitorios con baño compartido.,Cocina con oficio y tendedero.,Dormitorio y baño de servicio.,3 plazas de garaje y 2 trasteros.",Anuncio actualizado el 6 de febrero,0,0,5,1,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,plaza de garaje incluida en el precio,0,,,82331037,Piso,,,1,Getxo,Distrito Neguri," , Distrito Neguri , Getxo , Gran Bilbao, Vizcaya ",,,"Gran Bilbao, Vizcaya",270,,2019-03-25,,1380000,0,5,1,0,0,
"Piso hermoso de 3 dormitorios, dos baños, una terraza acristalada con ventanas nuevas de pvc, reformado recientemente, salón de 20 m2, cocina con tendedero. también tiene posibilidad de comprarlo con garaje cerrado. tiene unas 12 escaleras para subir a la vivienda y el portal es amplio y luminoso.,El piso se encuentra en Sopelana, en una urbanización que se encuentra a escasos metros de la playa, antiguamente utilzada como zona de veraneo pero que actualmente habrá más de un 60 % de viviendas utilizadas todo el año.,La urbanización de Arrietara se encuentra en entre Larrabasterra y la playa, con salida directa al corredor de Uribe Kosta y a dos minutos en coche del centro comercial Landaida de Berango donde se encuentra los supermercados Mercadona y Lidl, así como Decathlon.,Aunque esta a 15 minutos andando del metro de Larrabasterra también hay posibilidad de poder utilizar el autobús lanzadera que hay desde la playa hasta el centro urbano de Sopelana.,Sopela cuenta con extensas y hermosas playas (Atxabiribil, Barinatxe) así como la playa de Meñakoz salvaje apartada del centro urbano. Posee un atractivo natural y paisajístico.,Tiene muchas actividades culturales; fiestas patronales de San Pedro y el Carmen, festivales como Sopela Kosta Fest, Campeonatos de surf internacionales.,Naturaleza, playas, puestas de sol, rutas entre acantilados.,Se encuentra a tan solo 20 minutos de Bilbao en coche y a 30 en metro. También tiene autobuses a la playa desde el centro urbano.",Anuncio actualizado el 6 de diciembre,0,0,2,1,0,segunda mano/buen estado,1965,en trámite,planta 1ª exterior,plaza de garaje por 45.000 eur adicionales,0,,calefacción individual: gas natural,82332145,Piso,,,0,Sopelana,Urb. Arrietara," Urb. Arrietara , Sopelana , Uribe-Butroe, Vizcaya ",,,"Uribe-Butroe, Vizcaya",95,85,2019-03-25,"norte, oeste",259000,0,3,0,0,1,
"La vivienda tiene unos 150 metros sumando la superficie interior y la mitad de terraza., , Consta de una planta principal con cocina/comedor, aseo, una habitacion y la sala con acceso a la terraza., , En la planta superior hay dos habitaciones y dos baños completos, uno de ellos en la habitacion pricipal., , En la planta sotano hay un txoko, con otro acceso directo a la vivienda desde el garaje, el cual tiene dos parcelas y una despensa., ,La urbanizacion dispone de amplias zonas comunes, asi como una gran piscina, juegos deportivos, columpios y una zona de huertas, la cual pertenece a esta vivienda una parcelita de 40m2.",Anuncio actualizado el 22 de febrero,0,0,3,0,0,segunda mano/buen estado,,en trámite,exterior,plaza de garaje incluida en el precio,1,,,82530175,Dúplex,,,0,Leioa,Distrito Aldekoena-Artatzagana-Sarriena," , Distrito Aldekoena-Artatzagana-Sarriena , Leioa , Gran Bilbao, Vizcaya ",,,"Gran Bilbao, Vizcaya",160,150,2019-03-25,sur,389900,0,3,1,1,1,
