ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,house_type2,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Espectacular piso con unas vistas privilegiadas de todo Bilbao, el mejor piso de todo Miribilla!, , Zona privilegiada que te ofrece todo tipo de servicios y transportes, áreas de esparcimiento cómo el Bilbao Arena y el Centro Comercial., , Vivienda distribuida en hall de entrada,  4 habitaciones con armarios empotrados, gran salón comedor con impresionante mirador, cocina completamente equipada e independiente con electrodomésticos de alta gama y 3 baños completos (uno de ellos incorporado en dormitorio principal)., , En perfecto estado,  para entrar a vivir, con suelo de tarima de elondo, ventanas de aluminio climalit y puertas de sapelly. Dispone de calefacción individual de Gas Natural., , Disfrutarás de muchísima luz por su orientación y sus grandes ventanales., , En cuanto al edificio te contaré que se trata de una construcción semi-nueva (año 2005) de hormigón. Dispone de 2 ascensores a cota cero y 2 portales., , Parcela de garaje con acceso directo y trastero, incluidos en el precio., , Si quieres visitarlo, no dudes en ponerte en contacto con nosotros ó visitar nuestra página web:, ,.",Anuncio actualizado el 8 de marzo,0,0,3,1,0,segunda mano/buen estado,2005,,planta 9ª exterior,plaza de garaje incluida en el precio,0,,calefacción individual: gas natural,83452707,Ático,,,1,Bilbao,Distrito Ibaiondo," Calle Espinosa Orive Doktorearen, 7 , Barrio Miribilla , Distrito Ibaiondo , Bilbao , Gran Bilbao, Vizcaya ",Barrio Miribilla,"Calle Espinosa Orive Doktorearen, 7","Gran Bilbao, Vizcaya",156,125,2019-03-25,sur,485000,1,4,1,0,0,
"NUEVO! A ESTRENAR! Impresionante casa rústica totalmente reformada con todo lujo de detalle. Ubicada en muy buena zona cerca de todos los servicios y comunicaciones. Dos cómodas plantas distribuidas de la siguiente forma: Planta baja: Garaje cerrado, cocina completamente equipada a estrena, un aseo, gran salón comedor y una espectacular terraza para disfrutar del aire libre. Además dispone de una estructura anexa reformada válida para txoko, taller, almacén. Primera Planta: 3 habitaciones y dos baños completos (suit principal con baño privado y terraza). Todo ello en excelente estado para entrar a vivir. Infórmate aquí!.",Anuncio actualizado el 8 de marzo,0,0,2,0,0,,,no indicado,,plaza de garaje incluida en el precio,0,,,35860881, Casa o chalet,casa o chalet,,,Gallarta,," , Gallarta , Gran Bilbao, Vizcaya ",,,"Gran Bilbao, Vizcaya",105,,2019-03-25,,290000,0,3,0,0,0,
"Vivienda de 3 habitaciones, sala, cocina y baño. Propiedad muy luminosa y con buena orientación. La propiedad esta para reformar y es una gran oportunidad para poder reformarla al gusto, perfecto para invertir. A solo un minuto de la parada del metro de Barakaldo, salida Elcano. No pierdas la oportunidad de visitarlo.",Anuncio actualizado el 11 de marzo,0,0,1,0,0,segunda mano/para reformar,1956,en trámite,planta 6ª interior,,0,,no dispone de calefacción,84613403,Piso,,,0,Barakaldo,Distrito Centro," elcano , Distrito Centro , Barakaldo , Gran Bilbao, Vizcaya ",elcano,,"Gran Bilbao, Vizcaya",90,85,2019-03-25,"sur, este",125000,0,3,0,0,0,
"Bonito duplex de 130 m2 aprox. , en el centro de Gordexola., Edificio completamente reformado con ascensor y videoportero. La finca cuenta además con acceso rodado, parking y piscina comunitaria, dispone también de una parcela de garaje en el edificio contiguo., La vivienda se distribuye en hall, cocina americana con isla totalmente equipada, 3 baños, amplio salon comedor y tres habitaciones, la principal con armarios empotrados y baño y un espacio abuhardillado encima, valido como trastero., Muy luminoso, totalmente exterior, con bonitos suelos de baldosa, puertas lacadas en blanco, ventanas Climalit, aire acondicionado, calefacción de suelo radiante por Geotermia., Excelente situación a 20 minutos de Bilbao, cercano a servicios, parques, colegios, parada de autobús, piscinas municipales.. .,Imprescindible ver.",Anuncio actualizado el 14 de marzo,0,0,3,0,0,segunda mano/buen estado,2017,no indicado,planta 1ª,plaza de garaje incluida en el precio,1,,,84600318,Piso,,,1,Gordexola,," , Gordexola , Encartaciones, Vizcaya ",,,"Encartaciones, Vizcaya",130,,2019-03-25,,420000,0,3,0,1,0,
"Vivienda completamente reformada, A ESTRENAR, en la zona de Santa Teresa, a 3 minutos de la boca del Metro de Bagatza., , Está distribuida en 3 buenas habitaciones (la principal con armario empotrado), un amplio salón comedor, cocina muy espaciosa y dos baños completos (uno de ellos dentro de la habitación principal)., , Las ventanas de toda la casa son de PVC Climalit oscilobatientes, paredes lisas recién pintadas, suelo nuevo, puertas lacadas en blanco y CALEFACCIÓN DE GAS NATURAL INDIVIDUAL., , El edificio cuenta con ASCENSOR A COTA 0., , Es una vivienda muy luminosa, pues tiene buena altura y buena orientación., ,Tienes la opción de elegir los muebles y los electrodomésticos para que te entreguen la casa con la cocina montada. ¡ Pregúntanos!",Anuncio actualizado el 14 de marzo,0,0,2,1,0,segunda mano/buen estado,1971,no indicado,planta 6ª exterior,,0,,,84638358,Piso,,,1,Barakaldo,Distrito Bagatza - S. Vicente," , Distrito Bagatza - S. Vicente , Barakaldo , Gran Bilbao, Vizcaya ",,,"Gran Bilbao, Vizcaya",85,75,2019-03-25,"norte, sur",220000,1,3,0,0,0,
"Situado en una zona residencial cerca del metro de Aiboa tenemos esta vivienda,  aproximadamente 120m2., , Dispone de un  halll , 3 habitaciones con armarios empotrados y 2 baños completos. La vivienda  es totalmente exterior a dos fachadas que dan a  espacios muy luminosos y soleados. La  orientación Sur Oeste con preciosas y agradables vistas a un jardín.  , ,  Incluye en el precio dos plazas de garaje y trastero en el mismo edificio comunicado con ascensor., , En muy buen estado y para entrar a vivir., , Si quieres ver este piso llámanos 94 480 29 97, ,.",Anuncio actualizado el 13 de marzo,0,0,2,0,0,segunda mano/buen estado,,en trámite,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,84643497,Piso,,,0,Getxo,Distrito Algorta," , Barrio Alango , Distrito Algorta , Getxo , Gran Bilbao, Vizcaya ",Barrio Alango,,"Gran Bilbao, Vizcaya",125,120,2019-03-25,"sur, oeste",450000,0,3,1,0,1,
"Se vende este apartamento de 50m2,   totalmente exterior. Consta de cocina, salón,  dos habitaciones y un baño., , Se ha realizado una reforma integral, las ventanas son de PVC y se ha  instalado una   caldera de gas para calefacción y agua caliente , . Dispone de trastero de 8m2, ,  Está ubicado en una calle particular con posibilidad de aparcar dentro., , Se encuentra en la zona centro de Algorta y muy cerca de la playa., , Si desea ver alguna vivienda de las mismas características, nos puede visitar en www.  Inmohaydee . com, ,  , ,.",Anuncio actualizado el 20 de marzo,0,0,1,1,0,segunda mano/para reformar,,en trámite,planta 3ª exterior,,0,,calefacción individual,84653145,Piso,,,0,Getxo,Distrito Algorta," , Barrio Polígono Rojo-Aldapa , Distrito Algorta , Getxo , Gran Bilbao, Vizcaya ",Barrio Polígono Rojo-Aldapa,,"Gran Bilbao, Vizcaya",55,50,2019-03-25,"norte, este",216000,0,2,0,0,0,
"Estupenda vivienda cercana al centro de Bilbao, consta de cocina, salón comedor, 2 habitaciones amplias y un baño además de una bonita galería, fácil acceso a la autovía, zona de aparcamiento junto a la vivienda, edificio singular.",Anuncio actualizado el 20 de marzo,0,1,1,0,0,segunda mano/buen estado,,en trámite,planta 2ª exterior,,0,,calefacción individual: gas natural,84632461,Piso,,,0,Bilbao,Distrito Rekalde," Grupo Torreurizar Etxetaldea, 2 Torreurizarpiso , Barrio Irala , Distrito Rekalde , Bilbao , Gran Bilbao, Vizcaya ",Barrio Irala,"Grupo Torreurizar Etxetaldea, 2 Torreurizarpiso","Gran Bilbao, Vizcaya",95,82,2019-03-25,sur,165000,0,2,1,0,0,
,Anuncio actualizado el 4 de marzo,0,0,4,1,0,segunda mano/buen estado,,no indicado,3 plantas,,1,,,33792567, Casa o chalet independiente,casa o chalet independiente,,,Getxo,Distrito Sta. María de Getxo," galea errepidea , Distrito Sta. María de Getxo , Getxo , Gran Bilbao, Vizcaya ",galea errepidea,,"Gran Bilbao, Vizcaya",1400,,2019-03-25,"sur, este",1530000,0,6,1,1,0,
"Estupendo piso en el Centro de Las Arenas.,Junto a zona de comercio y Zugazarte.,A dos minutos del metro y 5 minutos de la playa.,Vivienda en planta segunda. Totalmente exterior, mucha luz y buena orientación.,La vivienda está impecable, con una reciente obra integral.,Se distribuye de la siguiente forma: hall entrada, amplio salón- comedor en dos estancias con grandes ventanales, aseo de invitados con luz natural, cocina-comedor perfectamente equipada, tres dormitorios amplios con armarios empotrados y dos baño completo. La habitación principal posee un amplio vestidor y uno de los baños incorporado. ,Solarium comunitario en el Edificio.,Garaje directo y trastero,El piso esta reformado al detalle con materiales de primera calidad.,Precio: 575.000 euros Mas información y visitas 696.94. 60.52.",Anuncio actualizado el 1 de febrero,0,0,2,0,0,,,no indicado,planta 2ª,plaza de garaje incluida en el precio,0,,,38133315,Piso,,,1,Getxo,Distrito Las Arenas," Calle particular de club , Barrio Las Arenas Centro , Distrito Las Arenas , Getxo , Gran Bilbao, Vizcaya ",Barrio Las Arenas Centro,Calle particular de club,"Gran Bilbao, Vizcaya",120,,2019-03-25,,575000,0,3,0,0,0,
"Estupendo chalet en Barrika.,Primera linea de mar, con vistas espectaculares hacia la bahía de Plentzia y hacia Barrika.,Piscina independiente, acabados de lujo, para entrar a vivir.,1700 metros de parcela.,Distribución: ,Planta baja: Bonito hall con Aseo de cortesia, Salon de 90 metros con salida la porche, Bliblioteca con salida a la piscina, Amplia cocina con isla, Comedor de diario tipo cenador acristalado.,Un dormitorio con baño en suite,Primera planta: Sala de estar abierta con maravillosas vistas al cantabrico, 3 dormitorios con posivilidad de hacer otro mas! ,El dormitorio principal tiene el baño en suite y un vestidor.,Dos maravillosas terrazas con vistas desde Gorliz hasta Castro,Desde cada estancia de la casa (baños incluidos se ve el mar),Sótano: trastero independiente, una amplia zona de lavado y un parking para 4 coches.,Precio: 1.395. 000 Negociables,Mas Información y visitas 696946052.",Anuncio actualizado el 1 de febrero,0,0,4,0,0,,,no indicado,,plaza de garaje incluida en el precio,0,,,38734989, Casa o chalet,casa o chalet,,,Barrika,garramune urbanizazioa," garramune urbanizazioa , Barrika , Uribe-Butroe, Vizcaya ",,,"Uribe-Butroe, Vizcaya",470,,2019-03-25,,1395000,0,4,0,0,0,
,Anuncio actualizado el 24 de mayo,0,0,2,1,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,40038534,Piso,,,1,Leioa,Distrito Artatza-Pinueta-Pinosolo," LEKUEDER , Distrito Artatza-Pinueta-Pinosolo , Leioa , Gran Bilbao, Vizcaya ",LEKUEDER,,"Gran Bilbao, Vizcaya",108,,2019-03-25,sur,365000,0,3,1,0,1,
,Anuncio actualizado el 21 de noviembre,0,0,3,1,0,segunda mano/buen estado,,no indicado,planta 3ª exterior,plaza de garaje incluida en el precio,0,,,40252577,Dúplex,,,1,Berango,LEHENDAKARI AGIRRE," LEHENDAKARI AGIRRE , Berango , Uribe-Butroe, Vizcaya ",,,"Uribe-Butroe, Vizcaya",167,,2019-03-25,"sur, oeste",430000,0,3,1,0,0,
"ALGORTA. ZONA TRINITARIOS.,Estupenda vivienda ubicada en la mejor zona residencial de Algorta.,A 5 minutos del metro, se encuentra rodeada de zonas verdes y paseos, a escasos 500 metros de la Playa de Arrigunaga.,80m2 de vivienda con estupenda terraza de 25m2.,Necesita actualizar. Muchas posibilidades.,Distribución:,Hall entrada con amplio salon (mucha luz), cocina, 2 habitaciones y 2 baños.,La vivienda tiene camarote, NO tiene garaje.,Hay posibilidad de alquilar parcela o buscar una en compra.,agua caliente individual, calefaccion central,Precio venta 355.000 euros. vivienda disponible a partir del 1 de Noviembre ,Mas informacion y visitas 696.94. 60.52.",Anuncio actualizado el 18 de enero,0,0,2,1,0,segunda mano/para reformar,,no indicado,planta 1ª exterior,,0,,calefacción central,82415782,Piso,,,1,Getxo,Distrito Algorta," Calle Maria Goiri , Barrio Usategui , Distrito Algorta , Getxo , Gran Bilbao, Vizcaya ",Barrio Usategui,Calle Maria Goiri,"Gran Bilbao, Vizcaya",80,,2019-03-25,este,355000,1,2,1,0,1,
,Anuncio actualizado el 3 de diciembre,0,0,1,0,0,segunda mano/buen estado,1958,en trámite,planta 4ª exterior,,0,,,81180436,Piso,,,0,Santurtzi,Distrito Mamariga," , Distrito Mamariga , Santurtzi , Gran Bilbao, Vizcaya ",,,"Gran Bilbao, Vizcaya",50,,2019-03-25,,110000,0,2,0,0,1,
"Vivienda totalmente exterior con vistas y en muy buen estado para entrar a vivir., Consta de 2 amplias habitaciones, sala, cocina equipada y baño completo., Con muy buen acceso a la autopista, y a diez minutos andando del centro de Bilbao.,Con todo tipo de servicios cerca, colegios, parques, Mercadona y Eroski.,Edificio de hormigón, sin ninguna derrama pendiente y pasada la I. T. E.,Suelos de madera, ventanas de aluminio con doble acristalamiento climalit, calefacción eléctrica con acumuladores, totalmente amueblado. No dispone de ascensor pero tiene posibilidad en un futuro.,Llámanos y te lo enseñaremos encantados.",Anuncio actualizado el 19 de enero,0,0,1,0,0,segunda mano/buen estado,1960,,planta 4ª exterior,,0,,calefacción individual,83789426,Piso,,,0,Bilbao,Distrito San Adrián - La Peña," Calle Monte Eretza, Bilbao , Barrio San Adrián , Distrito San Adrián - La Peña , Bilbao , Gran Bilbao, Vizcaya ",Barrio San Adrián,"Calle Monte Eretza, Bilbao","Gran Bilbao, Vizcaya",65,60,2019-03-25,"sur, oeste",139000,0,2,0,0,0,
"Las Arenas. Zona centro, a 3 minutos del metro y zona de paseo de la playa.,Estupenda vivienda. Alta, buena orientación. 178 m2 construidos,distribución: hall entrada, salón en esquina con grandes ventanales, comedor amplio (antes dos habitaciones), 2 dormitorios con 2 cuartos de baño, cocina con 1 habitación de servicio y baño0.,1 trastero grande,Gastos de comunidad 192 euros.,ac. calefacción central,Servicio de Porteria,Precio 500.000 ,Mas información y visitas 696.94. 60.52.",Anuncio actualizado el 29 de enero,0,0,3,1,0,segunda mano/para reformar,,en trámite,planta 3ª exterior,,0,,calefacción central,84047943,Piso,,,1,Getxo,Distrito Las Arenas," Calle Andres Larrazabal , Barrio Las Arenas Centro , Distrito Las Arenas , Getxo , Gran Bilbao, Vizcaya ",Barrio Las Arenas Centro,Calle Andres Larrazabal,"Gran Bilbao, Vizcaya",178,,2019-03-25,este,500000,0,3,1,0,1,
"Vivienda en calle Juan de Ajuriaguerra. Zona plaza Euskadi y museos.,Para reformar. Buen edificio. Exterior.,Vivienda con bonita distribución, maderas nobles en toda la casa, techos altos y 2 puertas de entrada.,Se distribuye en, amplio hall, salón mas comedor, 4 habitaciones, cocina amplia, 2 ,baños y 1 aseo.,Garaje incluido. Ascensor. Calefacción central.,Si desea más información, póngase en contacto con Henao Inmobiliaria a través de nuestro email, teléfono o página web. Le atenderemos sin compromiso.",Anuncio actualizado el 1 de marzo,0,0,3,0,0,segunda mano/para reformar,,en trámite,planta 4ª exterior,plaza de garaje incluida en el precio,0,,calefacción central,84099256,Piso,,,1,Bilbao,Distrito Abando - Albia," , Barrio Ensanche-Moyua , Distrito Abando - Albia , Bilbao , Gran Bilbao, Vizcaya ",Barrio Ensanche-Moyua,,"Gran Bilbao, Vizcaya",207,,2019-03-25,,690000,0,5,0,0,0,
"Las Arenas. Zona puente colgante.,Junto al paseo del Muelle Tomas Olabarri y del centro Urbano con todo tipo de servicios a mano.,Vivienda de 105 m2.,Planta alta, exterior, mucha luz y con muy buena orientación.,Distribución:,Amplio Hall entrada, salón-comedor, cocina equipada, dos habitaciones en suite con baño incorporado.,Agua caliente y calefacción central.,Servicio conserje.,Gastos de comunidad 107 ,Precio: 395.000 , ,Más información y visitas Tlfn 696946052.",Anuncio actualizado el 4 de febrero,0,0,2,1,0,segunda mano/buen estado,1975,en trámite,planta 5ª exterior,,0,,calefacción central,84124497,Piso,,,1,Getxo,Distrito Las Arenas," Tomas Olabarri Kaia , Barrio Muelle de las Arenas , Distrito Las Arenas , Getxo , Gran Bilbao, Vizcaya ",Barrio Muelle de las Arenas,Tomas Olabarri Kaia,"Gran Bilbao, Vizcaya",105,,2019-03-25,sur,395000,1,2,0,0,0,
"Piso en la parte alta de Zabala, totalmente exterior y muy luminoso. Ubicado junto a Miribilla, dispones al lado de casa de supermercado, fruterías o carnicerías. El colegio Urretxindorra a menos de 10 minutos. Puedes acercarte al centro de Bilbao en muy poco tiempo.,Muy bien comunicado con paradas de Bilbobús y Renfe. También dispones de un parking público en las inmediaciones. Edificio de hormigón, con dos habitaciones, sala, cocina y baño con ducha. Es un bajo aunque hace como un primer piso, sin barreras arquitectónicas. Gran oportunidad si es tu primera vivienda o bien si quieres invertir para ponerlo en alquiler. Garantizamos tu alquiler por 650€ al mes.",Anuncio actualizado el 8 de febrero,0,0,1,0,0,segunda mano/buen estado,1922,en trámite,bajo exterior,,0,,calefacción individual: gas natural,84190054,Piso,,,0,Bilbao,Distrito Ibaiondo," Calle Bruno Mauricio Zabala Kalea, Bilbao , Barrio Zabala , Distrito Ibaiondo , Bilbao , Gran Bilbao, Vizcaya ",Barrio Zabala,"Calle Bruno Mauricio Zabala Kalea, Bilbao","Gran Bilbao, Vizcaya",48,42,2019-03-25,"sur, oeste",109900,0,2,0,0,0,
"E&F ASESORES, gestiona la venta de un piso de 87 mts. para actualizar y dejar a gusto, situado al lado de la Plaza La Casilla., , Se distribuye en  hall,   salón, tres habitaciones, cocina  con zona de comedor y una despensa, baño completo con plato de ducha y un aseo., , Dispone de puerta de entrada de seguridad, suelos de madera (en la sala, pasillo y uno de los dormitorios moqueta), puertas de madera, agua caliente y calefacción central. Ventanas de madera simple. El piso es exterior y gracias a su altura (es un sexto pero hace de séptimo) muy luminoso.  , , El inmueble está perfectamente conservado; reformados tejado y fachada,  tiene ascensor y elevador para minusválidos., , Rodeado de todo tipo de servios, con lineas de autobús y a pocos minutos andando boca del metro., , PRECIO NEGOCIABLE!, ,Llama y lo visitaremos sin compromiso.  .",Anuncio actualizado el 8 de marzo,0,0,2,0,0,segunda mano/buen estado,1966,en trámite,planta 6ª exterior,,0,,,84193268,Piso,,,1,Bilbao,Distrito Rekalde," , Barrio Ametzola , Distrito Rekalde , Bilbao , Gran Bilbao, Vizcaya ",Barrio Ametzola,,"Gran Bilbao, Vizcaya",87,,2019-03-25,,250000,0,3,0,0,0,
"E&F ASESORES, gestiona la venta de un estupendo piso de tres habitaciones de unos 95 m2. en Alameda San Mamés en el centro de Indautxu. Se distribuye en salón, tres habitaciones, un baño completo con bañera, un aseo y amplia cocina comedor equipada con combi, horno, placa de gas natural y lavadora., , El piso tiene suelos y puertas de madera, ventanas simples de aluminio, agua caliente y calefacción de gas natural individual (caldera nueva) y puerta de entrada de seguridad. Aún siendo un piso interior, es luminoso. Hace la altura de un 4º piso., , El inmueble dispone de ascensor, elevador para minusválidos, doble puerta de entrada a portal y videoportero. El portal ha sido reformado recientemente y todos los días a las 19,00 h. una persona recoge la basura en planta., , Se encuentra rodeado de todo tipo de servicios, en el mismo centro de Bilbao y a escasos metros de linea de metro, lineas de autobús, etc., ,Oportunidad de vivir en el centro, no la dejes escapar. Llama y te lo enseñaré.",Anuncio actualizado el 8 de marzo,0,0,2,0,0,segunda mano/buen estado,,en trámite,planta 3ª interior,,0,,,84227298,Piso,,,1,Bilbao,Distrito Indautxu," , Barrio Zona Indautxu , Distrito Indautxu , Bilbao , Gran Bilbao, Vizcaya ",Barrio Zona Indautxu,,"Gran Bilbao, Vizcaya",100,95,2019-03-25,,350000,0,3,0,0,0,
"Exclusiva en PISO ON, bonita vivienda en la zona nueva de san miguel.,La vivienda es toda exterior y muy luminosa, con orientación es OESTE.,La vivienda consta de 2 habitaciones una de ellas doble, tiene un baño completo con bañera.,La vivienda tiene un salón de 18m2 con mucha claridad. La cocina esta amueblada y equipada con acceso a un tendedero en donde está la lavadora y la caldera.,La vivienda tiene calefacción a gas y ventanas de aluminio de doble cristal.,Dentro del precio está incluida un amplio camarote y una parcela de garaje.,La vivienda esta perfecta para entrar a vivir.,El mayor portal inmobiliario de Bizkaia,Pisos en Durango, Amorebieta y Basauri,Encuentra más en.",Anuncio actualizado el 13 de marzo,0,0,1,0,0,segunda mano/buen estado,1996,en trámite,planta 3ª exterior,plaza de garaje incluida en el precio,0,,calefacción individual,84397717,Piso,,,,Basauri,Distrito San Miguel," , Distrito San Miguel , Basauri , Gran Bilbao, Vizcaya ",,,"Gran Bilbao, Vizcaya",70,60,2019-03-25,oeste,157000,0,2,1,0,0,
"Vivienda situada en Av. Gernikako Arbola. Zona muy céntrica, a pocos metros de la Plaza Bide Onera y de la estación de metro de Barakaldo. La vivienda es muy luminosa y disfruta de una de las mejores vistas de Barakaldo, en un edificio esquinero. Se trata de un piso exterior y con ventanales que ofrecen vistas despejadas a la Av. Gernikako Arbola y al Parque de las Esculturas. Consta de tres dormitorios, cocina y un baño, así como de un salón muy luminoso y amplio con salida a un balcón soleado con orientación este. Está en una de las mejores zonas del centro con todos los servicios necesarios al alcance. Debido a su excepcional ubicación y a la escasez de viviendas en esta zona, la vivienda es una gran inversión. Posibilidad de parcela de garaje opcional. No dejes pasar esta oportunidad y contacta con nosotros para visitar esta fantástica vivienda. Propiedad solo disponible en donpiso Barakaldo. ( El PVP indicado no incluye impuestos ni gastos de Escritura ).",Anuncio actualizado el 22 de marzo,0,0,1,0,0,segunda mano/para reformar,1974,en trámite,planta 3ª exterior,,0,,,84687733,Piso,,,1,Barakaldo,Distrito Bagatza - S. Vicente," , Distrito Bagatza - S. Vicente , Barakaldo , Gran Bilbao, Vizcaya ",,,"Gran Bilbao, Vizcaya",83,73,2019-03-25,"sur, este",273000,0,3,0,0,1,
"Casa señorial en primera línea de la ria de Plentzia. Finca centenaria con una superficie útil de 420 mts2 distribuidos en 4 plantas.,Sótano: bodega y lavadero.,Planta Baja: hall espectacular, cocina, 2 dormitorios, baño y salón comedor con salida directa al jardín.,Planta 1ª: 4 dormitorios, baño y aseo. Una de las habitaciones con salida a otra terraza.,Ático: 3 dormitorios y 1 baño.,Necesita reforma. Posibilidad de instalar ascensor por el patio interior.",Anuncio actualizado el 21 de junio,0,0,3,0,0,segunda mano/buen estado,,en trámite,4 plantas,,0,,,38965971, Casa o chalet independiente,casa o chalet independiente,,,Plentzia,Calle erribera," Calle erribera , Plentzia , Uribe-Butroe, Vizcaya ",,,"Uribe-Butroe, Vizcaya",350,495,2019-03-25,,695000,0,9,0,0,0,
"Chalet unifamiliar con una superficie útil de 210 mts2, en parcela de 400 mts2.,Planta Baja: hall, cocina equipada con salida a jardín, lavadero, salón, comedor, 1 dormitorio, 1 baño. Garaje.,Planta Primera: 3 dormitorios (el principal con mirador y vestidor), 1 baño.,Ático diáfano de 50 mts2 útiles, con ventanas y velux. Espacio perfecto para estudio, despacho o más dormitorios.,El inmueble está totalmente reformado (baños, suelo, calefacción, ventanas... ), para entrar a vivir. Tiene un bonito jardín con orientación sureste, y una amplia terraza al otro lado de la casa. Situada en pleno centro, pero en un entorno tranquilo y muy próxima a la playa.",Anuncio actualizado el 21 de junio,0,0,2,0,0,segunda mano/buen estado,,en trámite,3 plantas,,0,,,39138112, Casa o chalet,casa o chalet,,,Gorliz,Calle itsasbide," Calle itsasbide , Gorliz , Uribe-Butroe, Vizcaya ",,,"Uribe-Butroe, Vizcaya",400,210,2019-03-25,,620000,0,5,0,0,0,
"Piso de reciente construcción muy próximo al puerto de Plentzia y a la playa. Tiene una superficie útil de 85 mts2 distribuidos en: hall, salón-comedor con salida a terraza, cocina totalmente equipada con zona tendedero-lavadero cubierto, 2 dormitorios con armarios empotrados y 2 baños (1 de ellos en el dormitorio principal). Desde el dormitorio principal se accede también a la terraza.,El inmueble está en un estado impecable, prácticamente nuevo y amueblado. ,Ascensor, garaje y trastero. Vistas espectaculares. ,Ubicado en una urbanización privada con amplios jardines, pista de padel y piscina.",Anuncio actualizado el 30 de enero,0,0,2,1,0,segunda mano/buen estado,2010,en trámite,planta 2ª exterior,plaza de garaje incluida en el precio,1,,,39616006,Piso,,,1,Gorliz,Calle axpe," Calle axpe , Gorliz , Uribe-Butroe, Vizcaya ",,,"Uribe-Butroe, Vizcaya",95,85,2019-03-25,"norte, sur",370000,1,2,1,1,1,
"Chalet adosado de reciente construcción en urbanización privada. Tiene una superficie útil de 250 mts2:,-Sótano: garaje para 2 coches y espacio para txoko o trastero de 20 mts2.,-Planta principal: hall, cocina totalmente equipada con zona de tendedero/lavadero independiente, aseo con ventana, salón-comedor de 30 mts2 con salida directa a terraza.,-Planta 1ª: 2 dormitorios con armarios empotrados y salida a balcón, baño, dormitorio principal con baño y vestidor y con salida directa a terraza. ,-Ático: espacio diáfano de 25 mts2 con salida a 2 terrazas de 18 mts2 cada una de ellas. Vistas espectaculares.,Se han realizado numerosas mejoras con materiales de primera calidad. ,El chalet tiene un jardín privado de 230 mts2 con orientación sur, y zona de barbacoa. Desde el jardín de la vivienda se accede a la piscina y a la pista de padel, ambas comunitarias.,Situado en un entorno maravilloso y a tan solo 5 minutos del puerto y de la playa.",Anuncio actualizado el 22 de junio,0,0,3,1,0,segunda mano/buen estado,,en trámite,4 plantas,plaza de garaje incluida en el precio,1,,,38497938, Chalet pareado,chalet pareado,,,Gorliz,axpe," axpe , Gorliz , Uribe-Butroe, Vizcaya ",,,"Uribe-Butroe, Vizcaya",230,250,2019-03-25,"norte, sur, este",660000,0,4,1,1,1,
"Piso totalmente reformado. Tiene una superficie útil de 80 mts2 distribuidos en: salón-comedor con salida a un balcón cerrado, cocina totalmente equipada con acceso directo al trastero de la vivienda, 2 dormitorios con amplios armarios empotrados y 2 baños. La vivienda ha sido reformada con materiales de primera calidad y se encuentra en un estado impecable.,Muy próxima al puerto y a la playa. A tan solo 50 mts de los supermercados y junto a paradas de Bus.",Anuncio actualizado el 22 de junio,0,0,2,1,0,segunda mano/buen estado,,en trámite,bajo exterior,,0,,,38643914,Piso,,,1,Plentzia,Labasture," Labasture , Plentzia , Uribe-Butroe, Vizcaya ",,,"Uribe-Butroe, Vizcaya",87,80,2019-03-25,norte,269000,0,2,1,0,1,
"Piso céntrico, nuevo, para entrar a vivir, muy luminoso. Amplia parcela de garaje con acceso directo y vigilante de seguridad. Camarote espacioso y muy alto. Amueblado y decorado con las mejores calidades. Armarios empotrados. Caldera general con termostato y contador individual. Cocina equipada de primer nivel. Tendedero. Es un segundo piso con altura de cuarto. Directamente del propietario.",Anuncio actualizado el 7 de marzo,0,0,2,1,0,segunda mano/buen estado,,en trámite,planta 3ª exterior,plaza de garaje incluida en el precio,0,,,40484722,Piso,,,1,Santurtzi,Distrito Kabiezes," Calle Jose Miguel Barandiaran, 25 , Distrito Kabiezes , Santurtzi , Gran Bilbao, Vizcaya ","Calle Jose Miguel Barandiaran, 25",,"Gran Bilbao, Vizcaya",80,75,2019-03-25,norte,306000,1,2,1,0,0,
"Adosado en zona residencial. Tiene una superficie útil de 190 m2 distribuidos en:,-Sótano: txoko equipado. Garaje de 29 m2 para 2 coches. ,-Planta Baja: hall, aseo, cocina totalmente equipada, salón-comedor con salida a terraza de 26 m2. ,-Planta 1ª: dormitorio principal con vestidor y baño, 2 dormitorios con armario empotrado y salida a balcón y 1 baño. ,-Ático: dormitorio con salida a terraza, con vistas magníficas. ,Muy soleado, orientación este y oeste.",Anuncio actualizado el 30 de julio,0,0,3,1,0,segunda mano/buen estado,,en trámite,4 plantas,plaza de garaje incluida en el precio,1,,,81225579, Chalet adosado,chalet adosado,,,Gorliz,tribiñu," tribiñu , Gorliz , Uribe-Butroe, Vizcaya ",,,"Uribe-Butroe, Vizcaya",40,190,2019-03-25,"este, oeste",420000,0,4,1,0,1,
