link,num_link,obtention_date,province
http://idealista.com/venta-viviendas/albacete/corredor-de-almansa/area-del-corredor-de-almansa/,415,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/campo-de-hellin/area-del-campo-de-hellin/,521,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/centro/area-de-chinchilla-de-monte-aragon/,444,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/centro/area-de-barrax/,141,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/villacerrada-centro/,179,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/san-pablo-santa-teresa/,384,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/san-antonio-abad-poligono-san-anton/,157,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/pedro-lamata-san-pedro-mortero/,189,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/medicina/,49,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/la-pajarita/,97,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/la-milagrosa-la-estrella/,11,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/industria-los-llanos/,245,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/hospital-parque-sur/,257,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/hermanos-falco-sepulcro-bolera/,146,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/franciscanos/,448,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/feria/,100,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/fatima/,253,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/el-pilar/,247,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/carretas-huerta-de-marzo/,323,2019-03-28,albacete
http://idealista.com/venta-viviendas/albacete/canicas-canal-de-maria-cristina/,79,2019-03-28,albacete
link,num_link,obtention_date,province
http://idealista.com/venta-viviendas/alicante/alt-vinalopo/,1055,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/comtat/,498,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/marina-alta/vall-de-pop/,175,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/l-alcoia/area-de-penaquila/,21,2019-03-28,alicante
http://idealista.com/venta-viviendas/san-vicente-del-raspeig-alicante/,1192,2019-03-28,alicante
http://idealista.com/venta-viviendas/san-juan-de-alicante-alicante/,826,2019-03-28,alicante
http://idealista.com/venta-viviendas/santa-pola-alicante/,1670,2019-03-28,alicante
http://idealista.com/venta-viviendas/pinoso-alicante/,89,2019-03-28,alicante
http://idealista.com/venta-viviendas/petrer-alicante/,324,2019-03-28,alicante
http://idealista.com/venta-viviendas/novelda-alicante/,367,2019-03-28,alicante
http://idealista.com/venta-viviendas/monovar-alicante/,289,2019-03-28,alicante
http://idealista.com/venta-viviendas/polop-alicante/,384,2019-03-28,alicante
http://idealista.com/venta-viviendas/guardamar-del-segura-alicante/,1344,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/baix-segura/formentera-benijofar/,426,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/baix-segura/catral-dolores-daya/,465,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/baix-segura/area-de-rojales/,887,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/baix-segura/area-de-rafal-jacarilla/,421,2019-03-28,alicante
http://idealista.com/venta-viviendas/pilar-de-la-horadada-alicante/,1618,2019-03-28,alicante
http://idealista.com/venta-viviendas/san-miguel-de-salinas-alicante/,371,2019-03-28,alicante
http://idealista.com/venta-viviendas/san-fulgencio-alicante/,198,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/la-mata/,959,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/el-acequion-los-naufragos/,1161,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/baix-segura/area-de-beniferri-callosa/,382,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/orihuela-ciudad/,457,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/los-balcones-los-altos-del-eden/los-balcones-los-altos-del-eden/,656,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/la-siesta-el-salado-torreta/la-siesta-el-salado-torreta/,749,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/montepinar-la-aparecida-raiguero/,88,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/molins-campaneta-san-bartolome/,86,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/playa-del-cura/playa-del-cura/,544,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/playa-del-cura/las-piscinas-naturales/,397,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/playa-del-cura/avenida-habaneras-curva-de-palangre/,574,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/playa-del-cura/antonio-machado/,309,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/la-murada-los-vicentes/,55,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/orihuela-costa/zeniamar-horizonte-la-campana/,187,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/orihuela-costa/villamartin-las-filipinas/,968,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/orihuela-costa/punta-prima/,102,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/orihuela-costa/playa-flamenca/,387,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/orihuela-costa/los-balcones-y-los-altos/,76,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/orihuela-costa/los-almendros-la-florida/,541,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/orihuela-costa/lomas-de-campoamor-las-ramblas/,260,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/orihuela-costa/lomas-de-cabo-roig-los-dolses/,432,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/orihuela-costa/la-zenia/,208,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/orihuela-costa/la-regia/,194,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/orihuela-costa/campoamor/,606,2019-03-28,alicante
http://idealista.com/venta-viviendas/torrevieja/centro/,1190,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/orihuela-costa/cabo-roig/,259,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/orihuela-costa/aguamarina/,159,2019-03-28,alicante
http://idealista.com/venta-viviendas/orihuela/desamparados-hurchillo-torremendo/,156,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/baix-segura/area-de-albaterra-san-isidro/,270,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/baix-segura/algorfa-los-montesinos/,425,2019-03-28,alicante
http://idealista.com/venta-viviendas/gran-alacant-alicante/,1086,2019-03-28,alicante
http://idealista.com/venta-viviendas/almoradi-alicante/,522,2019-03-28,alicante
http://idealista.com/venta-viviendas/mutxamel-alicante/,1285,2019-03-28,alicante
http://idealista.com/venta-viviendas/el-altet-balsares-alicante/,225,2019-03-28,alicante
http://idealista.com/venta-viviendas/crevillente-alicante/,323,2019-03-28,alicante
http://idealista.com/venta-viviendas/arenales-del-sol-alicante/,488,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante/l-alacanti/barriadas-de-alicante/,333,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/valverde/,104,2019-03-28,alicante
http://idealista.com/venta-viviendas/busot-alicante/,335,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/torrellano/,100,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/pena-de-las-aguilas/,89,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/maitino-perleta/,116,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/las-bayas-asprillas/,70,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/la-marina/,140,2019-03-28,alicante
http://idealista.com/venta-viviendas/el-campello/pueblo-espanol-coveta-fuma/,419,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/virgen-del-remedio-juan-xxiii/,541,2019-03-28,alicante
http://idealista.com/venta-viviendas/el-campello/pueblo-acantilado-lanuza/,219,2019-03-28,alicante
http://idealista.com/venta-viviendas/el-campello/playa-muchavista/,658,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/san-blas-pau/,771,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/pla-del-bon-repos-la-goleta-san-anton/,545,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/parque-avenidas-vistahermosa/,627,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/los-angeles-tombola-san-nicolas/,514,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/centro/,1765,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/campoamor-carolinas-altozano/,1616,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/benalua-la-florida-babel-san-gabriel/,1329,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/villafranqueza-santa-faz-monegre/villafranqueza-santa-faz-monegre/,163,2019-03-28,alicante
http://idealista.com/venta-viviendas/el-campello/campello-pueblo/,389,2019-03-28,alicante
http://idealista.com/venta-viviendas/el-campello/campello-playa/,326,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/la-hoya-daimes-el-derramador/,83,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/playa-de-san-juan-el-cabo/playa-de-san-juan/,1199,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/playa-de-san-juan-el-cabo/la-albufereta/,369,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/playa-de-san-juan-el-cabo/cabo-de-las-huertas/,774,2019-03-28,alicante
http://idealista.com/venta-viviendas/alicante-alacant/playa-de-san-juan-el-cabo/alicante-golf/,454,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/la-galia-bonavista/,87,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/jubalcoi-saladas/,49,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/alzabares/,30,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/algoda-matola-llano-de-san-jose/,114,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/zona-deportiva-nuevo-altabix/,182,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/travalon/,148,2019-03-28,alicante
http://idealista.com/venta-viviendas/aigues-alicante/,79,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/toscar/,111,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/sector-v-el-canal/,164,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/sant-anton-ciudad-jardin/,102,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/san-crispin/,79,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/reina-victoria-miguel-hernandez/,186,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/raval-de-santa-teresa-el-asilo/,128,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/portes-encarnades-torreta-portalada/,61,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/pont-nou-corazon-de-jesus/,369,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/plaza-crevillente-juzgados/,177,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/los-magros-casablanca/,126,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/centro/,312,2019-03-28,alicante
http://idealista.com/venta-viviendas/elche-elx/elche-ciudad/cementerio-el-aljub/,10,2019-03-28,alicante
