ad_description,ad_last_update,air_conditioner,balcony,bath_num,built_in_wardrobe,chimney,condition,construct_date,energetic_certif,floor,garage,garden,ground_size,heating,house_id,house_type,kitchen,lift,loc_city,loc_district,loc_full,loc_neigh,loc_street,loc_zone,m2_real,m2_useful,obtention_date,orientation,price,reduced_mobility,room_num,storage_room,swimming_pool,terrace,unfurnished
"Vivienda unifamiliar de nueva construcción (2011) distribuida en dos plantas, con una superficie útil total de 242,65 m2 (299,95 m2 construidos) en parcela de 4.324, 22 m2. La parcela está vallada en todo su perímetro y cuenta con cancela de entrada motorizada y automatizada y puerta peatonal con cerradura eléctrica.,La planta bajo cubierta tiene una superficie útil de 120,40 m2 (123,70 m2 construidos) y consta de cocina-salon-comedor abierto, estudio, cuarto de lavado, baño completo, invernadero, porche y terraza. ,La planta baja tiene una superficie útil de 122,55 m2 (158,55 m2 construidos) y consta de 3 dormitorios, vestidor y baño completo. Adicionalmente, dispone de porche-terraza (accesible desde dos de las habitaciones), cuarto de instalaciones-taller y bodega. ,Vivienda construida bajo criterios de bioconstrucción (clase energética A) con muros autoportantes de bloque de termoarcilla y aislamiento termico en cámaras de aire mediante vermiculita exfoliada G3. Aislamiento térmico en cubiertas inclinadas mediante insuflado de 20 cm de celulosa con 45 kg de densidad. Cimientos anti-radón. ,Cuenta con una instalación geotérmica para la producción de calefacción y ACS. La instalación se compone de un captador geotérmico horizontal de aprox. 150 m2 de superficie y un grupo termodinámico SOFATH. La calefacción es por suelo radiante y la producción de agua caliente mediante un acumulador SOFATH de 300 litros de capacidad.,Posibilidad de alquiler con opción a compra. Condiciones:,- Alquiler: 1.650 €/mes,- Señal por opción de compra: 10% del precio de venta. Se descontará del precio de venta pero no es reembolsable en caso de no ejercer la opción de compra.",más de 5 meses sin actualizar,0,0,2,0,0,segunda mano/buen estado,,en trámite,2 plantas,,1,,,37268556, Casa o chalet independiente,,,Aramaio,"Barajuen , 22 a"," Barajuen , 22 a , Aramaio , Zuya, Álava ",,,"Zuya, Álava",4324,243,2019-03-29,"sur, oeste",595000,0,3,1,0,1,
"Se vende chalet adosado en Murgia, 200 m2 distribuidos en 3 plantas en parcela de 600m2.,Planta baja: Cocina equipada, hall, salón con chimenea y salida al jardín, aseo, despensa-lavadero.,Primera planta: Habitación principal con vestidor y baño, habitación, baño, armarios empotrados.,Segunda planta: Dos habitaciones amplias abuhardilladas y un aseo.,Ademas dispone de txoko y garaje para dos coche en sotano.,Vivienda para entrar a vivir, muy luminosa y con amplias vistas.,Calefaccion y agua caliente individual de gas.,A 15 minutos de Vitoria y a 25 minutos de Bilbao, con todos los servicios necesarios (ikastola, polideportivo, autobús urbano.. . ).",más de 5 meses sin actualizar,0,0,4,0,0,segunda mano/buen estado,,no indicado,,,0,,,40141261, Chalet adosado,,,Zuya,"Calle Biguillano, 26"," Calle Biguillano, 26 , Zuya , Álava ",,,Álava,600,200,2019-03-29,,310000,0,4,0,0,0,
"Se vende casa - chalet acta para dos familias con entradas independientes, está situada en una parcela de unos 1.350m2 la casa de unos 350m2 aproximadamente consta de: txoko con chimenea, mesa grande, cocina amueblada y aseo. Primera planta consta de: 3 habitaciones con su baño propio, armarios empotrados y una cocina salón con aseo, gran terraza y buhardilla. Planta baja consta de: habitación principal con vestidor y baño propio, 3 habitaciones, 2 baños completos, cocina amueblada, amplio salón con chimenea, una despensa bajo escalera, zona de lavado y planchado, una terraza cubierta, garaje y aparcamiento en el interior de la finca. Luz eléctrica separada por plantas, aspiración centralizada, equipo de filtro y descalcificación del agua sanitaria, caldera de gasóleo con el depósito en la calle. (Cerrado), que alimenta a un acumulador para calefacción por suelo radiante, y el agua caliente sanitaria, aceras al rededor de toda la finca, jardín árboles frutales y huerta con grifo. Zona tranquila a 10km. de Vitoria y bien comunicada por carretera “autovía Vitoria-Bilbao. Centro comercial Gorbeia a 3km.,(Actualmente la primera planta se encuentra alquilada).",más de 5 meses sin actualizar,0,1,7,1,0,segunda mano/buen estado,,,2 plantas,plaza de garaje incluida en el precio,1,,,40422720, Casa o chalet independiente,,,Zigoitia,"Calle Berrikano, 10"," Calle Berrikano, 10 , Zigoitia , Zuya, Álava ",,,"Zuya, Álava",1350,300,2019-03-29,"norte, sur, este, oeste",447500,0,7,1,0,1,
,Anuncio actualizado el 17 de enero,0,1,2,0,0,segunda mano/buen estado,,no indicado,planta 1ª exterior,plaza de garaje incluida en el precio,0,,,83883705,Piso,,0,Aramaio,"Calle Aita Gabirel Jauregi, 4"," Calle Aita Gabirel Jauregi, 4 , Aramaio , Zuya, Álava ",,,"Zuya, Álava",70,,2019-03-29,,150000,0,2,1,0,0,
"Bonita vivienda unifamiliar en plena naturaleza y a 15 minutos de Vitoria. Está distribuida en semisótano con garaje y txoko, planta baja con vestíbulo, salón-comedor con chimenea, cocina, aseo y escalera.,Entreplanta con dos dormitorios y baño. y planta Primera con dos dormitorios y terraza.,La calefacción dispone de dos opciones: Pellets y Propano.,Amplia zona verde de 553 metros cuadrados con barbacoa.",Anuncio actualizado el 22 de febrero,0,0,2,0,0,segunda mano/buen estado,,en trámite,,,0,,calefacción individual,36828307, Casa o chalet independiente,,,Zuya,," , Zuya , Álava ",,,Álava,552,,2019-03-29,,330000,0,4,0,0,1,
,Anuncio actualizado el 26 de noviembre,0,0,2,0,0,segunda mano/para reformar,,no indicado,,,0,,,27472323, Casa de pueblo,,,Legutiano,"Calle Goikuri, 21"," Calle Goikuri, 21 , Legutiano , Zuya, Álava ",,,"Zuya, Álava",220,,2019-03-29,,70000,0,4,0,0,0,
,Anuncio actualizado el 24 de marzo,0,0,3,1,0,segunda mano/buen estado,,no indicado,3 plantas,,1,,calefacción individual: gas natural,83828882, Casa de pueblo,,,Legutiano,"Itesasi, 4"," Itesasi, 4 , Legutiano , Zuya, Álava ",,,"Zuya, Álava",90,180,2019-03-29,"sur, este",350000,0,3,0,0,0,
"Últimas viviendas a la venta., , Viviendas de nueva construcción en palacio de 3 plantas y sótano., , Distribución,, , Sótano​: Garaje directo y trastero., , Planta Baja: Hall, cocina, tendedero, aseo, salón - comedor, terraza (24,00 m2) y jardín (80,00 m2)., , Planta Primera: 3 habitaciones, principal con baño más otro baño., , Planta Segunda: Espacio diáfano y balcón., ,  , ,Exterior: Recinto privado.",Anuncio actualizado el 26 de noviembre,0,0,3,0,0,,,inmueble exento,,,1,,,34008052, Casa o chalet,,,Zuya,," , Zuya , Álava ",,,Álava,219,193,2019-03-29,,423000,0,3,1,0,1,
"Vivienda seminueva de tres plantas en urbanización privada y distribuida en,, , Sótano​: Garaje con espacio para dos coches y trastero., , Planta Baja: Hall, cocina, tendedero, aseo, salón-comedor, y jardín., , Planta Primera: Dos habitaciones, y baño., , Planta Segunda: Una habitación, un baño y dos balcones.., ,",Anuncio actualizado el 26 de noviembre,0,0,3,0,0,,,en trámite,,plaza de garaje incluida en el precio,1,,,39610444, Casa o chalet,,,Zuya,," , Zuya , Álava ",,,Álava,220,,2019-03-29,,320000,0,3,1,0,1,
,Anuncio actualizado el 26 de marzo,0,0,1,0,0,segunda mano/buen estado,,no indicado,planta 2ª exterior,,0,,,30638685,Ático,,1,Legutiano,"Calle comercio, 19"," Calle comercio, 19 , Legutiano , Zuya, Álava ",,,"Zuya, Álava",55,,2019-03-29,este,107000,0,2,1,0,0,
"Promoción chalet de nueva construcción, Passive-House. Diseño personalizado, desde 150m2 y 1000m2 se terreno.",Anuncio actualizado el 8 de marzo,0,0,2,0,0,segunda mano/buen estado,,,1 planta,,0,,,38236785, Casa o chalet independiente,,,Zigoitia,Calle Hegoalde s/n," Calle Hegoalde s/n , Zigoitia , Zuya, Álava ",,,"Zuya, Álava",1000,137,2019-03-29,sur,285000,0,3,0,0,0,
"Chimenea en salón, barbacoa.",Anuncio actualizado el 6 de enero,0,1,3,1,0,segunda mano/buen estado,1998,no indicado,3 plantas,plaza de garaje incluida en el precio,1,,,81817109, Casa o chalet independiente,,,Zuya,Larrabizcal s/n," Larrabizcal s/n , Zuya , Álava ",,,Álava,700,215,2019-03-29,"norte, sur, este, oeste",360000,0,4,1,0,0,
